noOfBedRoom,rent,propertyType,areaSqft,y,x,areaSqm,leaseDate,street,project,district
3,2500,Non-landed Properties,1500-1600,45696.29803,22726.02892,140-150,0521,ROSEWOOD DRIVE,ROSEWOOD SUITES,25
2,1950,Non-landed Properties,600-700,45696.29803,22726.02892,60-70,0421,ROSEWOOD DRIVE,ROSEWOOD SUITES,25
2,8700,Non-landed Properties,800-900,28835.93389,29379.37798,70-80,0521,WALLICH STREET,WALLICH RESIDENCE,02
2,9000,Non-landed Properties,1000-1100,28835.93389,29379.37798,100-110,0521,WALLICH STREET,WALLICH RESIDENCE,02
3,10000,Non-landed Properties,1000-1100,28835.93389,29379.37798,100-110,0521,WALLICH STREET,WALLICH RESIDENCE,02
3,9200,Non-landed Properties,1300-1400,28835.93389,29379.37798,120-130,0421,WALLICH STREET,WALLICH RESIDENCE,02
1,6200,Non-landed Properties,600-700,28835.93389,29379.37798,50-60,0421,WALLICH STREET,WALLICH RESIDENCE,02
1,6500,Non-landed Properties,600-700,28835.93389,29379.37798,50-60,0621,WALLICH STREET,WALLICH RESIDENCE,02
4,14000,Non-landed Properties,1700-1800,28835.93389,29379.37798,160-170,0621,WALLICH STREET,WALLICH RESIDENCE,02
4,14500,Non-landed Properties,1700-1800,28835.93389,29379.37798,160-170,0621,WALLICH STREET,WALLICH RESIDENCE,02
3,11000,Non-landed Properties,1300-1400,28835.93389,29379.37798,120-130,0421,WALLICH STREET,WALLICH RESIDENCE,02
2,7500,Non-landed Properties,900-1000,28835.93389,29379.37798,80-90,0421,WALLICH STREET,WALLICH RESIDENCE,02
2,9000,Non-landed Properties,900-1000,28835.93389,29379.37798,80-90,0421,WALLICH STREET,WALLICH RESIDENCE,02
3,10000,Non-landed Properties,1300-1400,28835.93389,29379.37798,120-130,0421,WALLICH STREET,WALLICH RESIDENCE,02
2,8800,Non-landed Properties,900-1000,28835.93389,29379.37798,80-90,0421,WALLICH STREET,WALLICH RESIDENCE,02
1,2000,Non-landed Properties,400-500,30209.65711,21561.65314,40-50,0521,PASIR PANJANG ROAD,JUBILEE RESIDENCE,05
2,2500,Non-landed Properties,800-900,30209.65711,21561.65314,80-90,0621,PASIR PANJANG ROAD,JUBILEE RESIDENCE,05
4,4300,Non-landed Properties,2300-2400,33879.32137,29604.45558,210-220,0621,AKYAB ROAD,ONE AKYAB,11
NA,3300,Non-landed Properties,1700-1800,32467.19207,30542.34322,160-170,0421,VERDUN ROAD,VERDUN HOUSE,08
NA,3200,Terrace House,1500-2000,40892.1721023437,32390.6333477526,100-150,0521,JALAN CHERMAI,SELETAR HILLS ESTATE,28
NA,5000,Terrace House,3500-4000,40892.1721023437,32390.6333477526,300-350,0421,JALAN CHERMAI,SELETAR HILLS ESTATE,28
3,6200,Non-landed Properties,2000-2100,33337.25117,27530.10736,180-190,0621,EWE BOON ROAD,CLIFTEN,10
3,3750,Non-landed Properties,1000-1100,33337.25117,27530.10736,90-100,0421,EWE BOON ROAD,CLIFTEN,10
1,2100,Non-landed Properties,400-500,33501.83548,33355.79502,40-50,0521,SIMS DRIVE,SIMS URBAN OASIS,14
2,2750,Non-landed Properties,600-700,33501.83548,33355.79502,50-60,0521,SIMS DRIVE,SIMS URBAN OASIS,14
2,3000,Non-landed Properties,600-700,33501.83548,33355.79502,60-70,0521,SIMS DRIVE,SIMS URBAN OASIS,14
2,2950,Non-landed Properties,600-700,33501.83548,33355.79502,50-60,0521,SIMS DRIVE,SIMS URBAN OASIS,14
1,2000,Non-landed Properties,400-500,33501.83548,33355.79502,40-50,0521,SIMS DRIVE,SIMS URBAN OASIS,14
2,2800,Non-landed Properties,600-700,33501.83548,33355.79502,60-70,0521,SIMS DRIVE,SIMS URBAN OASIS,14
1,2200,Non-landed Properties,400-500,33501.83548,33355.79502,40-50,0521,SIMS DRIVE,SIMS URBAN OASIS,14
2,2700,Non-landed Properties,600-700,33501.83548,33355.79502,60-70,0521,SIMS DRIVE,SIMS URBAN OASIS,14
1,2100,Non-landed Properties,400-500,33501.83548,33355.79502,40-50,0521,SIMS DRIVE,SIMS URBAN OASIS,14
2,2700,Non-landed Properties,600-700,33501.83548,33355.79502,50-60,0521,SIMS DRIVE,SIMS URBAN OASIS,14
2,2700,Non-landed Properties,600-700,33501.83548,33355.79502,50-60,0521,SIMS DRIVE,SIMS URBAN OASIS,14
2,2700,Non-landed Properties,600-700,33501.83548,33355.79502,50-60,0421,SIMS DRIVE,SIMS URBAN OASIS,14
1,2200,Non-landed Properties,400-500,33501.83548,33355.79502,40-50,0421,SIMS DRIVE,SIMS URBAN OASIS,14
1,2100,Non-landed Properties,400-500,33501.83548,33355.79502,40-50,0521,SIMS DRIVE,SIMS URBAN OASIS,14
2,2400,Non-landed Properties,600-700,33501.83548,33355.79502,60-70,0421,SIMS DRIVE,SIMS URBAN OASIS,14
2,2600,Non-landed Properties,600-700,33501.83548,33355.79502,50-60,0621,SIMS DRIVE,SIMS URBAN OASIS,14
2,2400,Non-landed Properties,600-700,33501.83548,33355.79502,50-60,0621,SIMS DRIVE,SIMS URBAN OASIS,14
2,2650,Non-landed Properties,600-700,33501.83548,33355.79502,60-70,0621,SIMS DRIVE,SIMS URBAN OASIS,14
2,2900,Non-landed Properties,600-700,33501.83548,33355.79502,50-60,0621,SIMS DRIVE,SIMS URBAN OASIS,14
2,2700,Non-landed Properties,600-700,33501.83548,33355.79502,60-70,0621,SIMS DRIVE,SIMS URBAN OASIS,14
1,2250,Non-landed Properties,400-500,33501.83548,33355.79502,40-50,0621,SIMS DRIVE,SIMS URBAN OASIS,14
3,3500,Non-landed Properties,800-900,33501.83548,33355.79502,70-80,0621,SIMS DRIVE,SIMS URBAN OASIS,14
2,2700,Non-landed Properties,600-700,33501.83548,33355.79502,60-70,0621,SIMS DRIVE,SIMS URBAN OASIS,14
2,2500,Non-landed Properties,600-700,33501.83548,33355.79502,60-70,0421,SIMS DRIVE,SIMS URBAN OASIS,14
1,2200,Non-landed Properties,400-500,33501.83548,33355.79502,40-50,0621,SIMS DRIVE,SIMS URBAN OASIS,14
1,2000,Non-landed Properties,400-500,33501.83548,33355.79502,40-50,0421,SIMS DRIVE,SIMS URBAN OASIS,14
2,2650,Non-landed Properties,600-700,33501.83548,33355.79502,60-70,0621,SIMS DRIVE,SIMS URBAN OASIS,14
2,2600,Non-landed Properties,600-700,33501.83548,33355.79502,50-60,0421,SIMS DRIVE,SIMS URBAN OASIS,14
1,2100,Non-landed Properties,400-500,33501.83548,33355.79502,40-50,0421,SIMS DRIVE,SIMS URBAN OASIS,14
2,2500,Non-landed Properties,600-700,33501.83548,33355.79502,50-60,0621,SIMS DRIVE,SIMS URBAN OASIS,14
2,2750,Non-landed Properties,600-700,33501.83548,33355.79502,50-60,0421,SIMS DRIVE,SIMS URBAN OASIS,14
2,2900,Non-landed Properties,600-700,33501.83548,33355.79502,50-60,0421,SIMS DRIVE,SIMS URBAN OASIS,14
3,4200,Non-landed Properties,1000-1100,33501.83548,33355.79502,90-100,0621,SIMS DRIVE,SIMS URBAN OASIS,14
3,4000,Non-landed Properties,1000-1100,33501.83548,33355.79502,90-100,0421,SIMS DRIVE,SIMS URBAN OASIS,14
3,4100,Non-landed Properties,900-1000,33501.83548,33355.79502,80-90,0521,SIMS DRIVE,SIMS URBAN OASIS,14
2,2300,Non-landed Properties,700-800,33501.83548,33355.79502,70-80,0521,SIMS DRIVE,SIMS URBAN OASIS,14
3,4100,Non-landed Properties,900-1000,33501.83548,33355.79502,80-90,0621,SIMS DRIVE,SIMS URBAN OASIS,14
1,2150,Non-landed Properties,400-500,33501.83548,33355.79502,30-40,0521,SIMS DRIVE,SIMS URBAN OASIS,14
2,2700,Non-landed Properties,600-700,33501.83548,33355.79502,60-70,0421,SIMS DRIVE,SIMS URBAN OASIS,14
2,2700,Non-landed Properties,600-700,33501.83548,33355.79502,60-70,0421,SIMS DRIVE,SIMS URBAN OASIS,14
2,2400,Non-landed Properties,600-700,33501.83548,33355.79502,60-70,0521,SIMS DRIVE,SIMS URBAN OASIS,14
2,2700,Non-landed Properties,600-700,33501.83548,33355.79502,60-70,0421,SIMS DRIVE,SIMS URBAN OASIS,14
3,2800,Non-landed Properties,900-1000,33501.83548,33355.79502,80-90,0521,SIMS DRIVE,SIMS URBAN OASIS,14
1,2650,Non-landed Properties,400-500,33501.83548,33355.79502,30-40,0521,SIMS DRIVE,SIMS URBAN OASIS,14
1,2050,Non-landed Properties,400-500,33501.83548,33355.79502,40-50,0421,SIMS DRIVE,SIMS URBAN OASIS,14
1,1950,Non-landed Properties,400-500,33501.83548,33355.79502,30-40,0421,SIMS DRIVE,SIMS URBAN OASIS,14
1,2200,Non-landed Properties,400-500,33501.83548,33355.79502,30-40,0621,SIMS DRIVE,SIMS URBAN OASIS,14
3,3000,Non-landed Properties,900-1000,33501.83548,33355.79502,80-90,0621,SIMS DRIVE,SIMS URBAN OASIS,14
1,1800,Non-landed Properties,400-500,33501.83548,33355.79502,30-40,0421,SIMS DRIVE,SIMS URBAN OASIS,14
2,2700,Non-landed Properties,600-700,33501.83548,33355.79502,60-70,0621,SIMS DRIVE,SIMS URBAN OASIS,14
1,2200,Non-landed Properties,400-500,33501.83548,33355.79502,30-40,0621,SIMS DRIVE,SIMS URBAN OASIS,14
1,2100,Non-landed Properties,400-500,33501.83548,33355.79502,40-50,0621,SIMS DRIVE,SIMS URBAN OASIS,14
1,2200,Non-landed Properties,400-500,33501.83548,33355.79502,30-40,0621,SIMS DRIVE,SIMS URBAN OASIS,14
1,2200,Non-landed Properties,400-500,33501.83548,33355.79502,30-40,0621,SIMS DRIVE,SIMS URBAN OASIS,14
1,2200,Non-landed Properties,400-500,33501.83548,33355.79502,30-40,0421,SIMS DRIVE,SIMS URBAN OASIS,14
3,4300,Non-landed Properties,900-1000,33501.83548,33355.79502,80-90,0421,SIMS DRIVE,SIMS URBAN OASIS,14
2,2700,Non-landed Properties,600-700,33501.83548,33355.79502,60-70,0621,SIMS DRIVE,SIMS URBAN OASIS,14
1,2000,Non-landed Properties,400-500,33501.83548,33355.79502,30-40,0421,SIMS DRIVE,SIMS URBAN OASIS,14
1,2000,Non-landed Properties,400-500,33501.83548,33355.79502,30-40,0621,SIMS DRIVE,SIMS URBAN OASIS,14
2,2700,Non-landed Properties,700-800,33501.83548,33355.79502,60-70,0521,SIMS DRIVE,SIMS URBAN OASIS,14
1,2100,Non-landed Properties,400-500,33501.83548,33355.79502,40-50,0521,SIMS DRIVE,SIMS URBAN OASIS,14
1,2200,Non-landed Properties,400-500,33501.83548,33355.79502,40-50,0521,SIMS DRIVE,SIMS URBAN OASIS,14
1,2500,Non-landed Properties,400-500,33501.83548,33355.79502,40-50,0521,SIMS DRIVE,SIMS URBAN OASIS,14
1,2200,Non-landed Properties,400-500,33501.83548,33355.79502,40-50,0521,SIMS DRIVE,SIMS URBAN OASIS,14
1,2200,Non-landed Properties,400-500,33501.83548,33355.79502,40-50,0521,SIMS DRIVE,SIMS URBAN OASIS,14
1,2250,Non-landed Properties,400-500,33501.83548,33355.79502,40-50,0521,SIMS DRIVE,SIMS URBAN OASIS,14
1,2400,Non-landed Properties,400-500,33501.83548,33355.79502,40-50,0521,SIMS DRIVE,SIMS URBAN OASIS,14
1,2000,Non-landed Properties,400-500,33501.83548,33355.79502,40-50,0421,SIMS DRIVE,SIMS URBAN OASIS,14
1,1900,Non-landed Properties,400-500,33501.83548,33355.79502,40-50,0421,SIMS DRIVE,SIMS URBAN OASIS,14
2,2560,Non-landed Properties,700-800,33501.83548,33355.79502,60-70,0421,SIMS DRIVE,SIMS URBAN OASIS,14
2,2700,Non-landed Properties,700-800,33501.83548,33355.79502,60-70,0621,SIMS DRIVE,SIMS URBAN OASIS,14
1,2100,Non-landed Properties,400-500,33501.83548,33355.79502,40-50,0621,SIMS DRIVE,SIMS URBAN OASIS,14
1,2150,Non-landed Properties,400-500,33501.83548,33355.79502,40-50,0621,SIMS DRIVE,SIMS URBAN OASIS,14
1,2500,Non-landed Properties,600-700,33501.83548,33355.79502,60-70,0621,SIMS DRIVE,SIMS URBAN OASIS,14
1,2150,Non-landed Properties,400-500,33501.83548,33355.79502,40-50,0421,SIMS DRIVE,SIMS URBAN OASIS,14
4,4450,Non-landed Properties,1200-1300,33501.83548,33355.79502,110-120,0521,SIMS DRIVE,SIMS URBAN OASIS,14
3,4100,Non-landed Properties,1000-1100,33501.83548,33355.79502,90-100,0621,SIMS DRIVE,SIMS URBAN OASIS,14
3,3600,Non-landed Properties,1000-1100,33501.83548,33355.79502,90-100,0521,SIMS DRIVE,SIMS URBAN OASIS,14
3,8500,Non-landed Properties,1700-1800,31020.7281,28387.02234,160-170,0521,ST. THOMAS WALK,SKYLINE 360 @ SAINT THOMAS WALK,09
5,15000,Non-landed Properties,>3000,31020.7281,28387.02234,>300,0521,ST. THOMAS WALK,SKYLINE 360 @ SAINT THOMAS WALK,09
4,10000,Non-landed Properties,2100-2200,31020.7281,28387.02234,190-200,0521,ST. THOMAS WALK,SKYLINE 360 @ SAINT THOMAS WALK,09
3,8500,Non-landed Properties,1700-1800,31020.7281,28387.02234,160-170,0521,ST. THOMAS WALK,SKYLINE 360 @ SAINT THOMAS WALK,09
4,8200,Non-landed Properties,2100-2200,31020.7281,28387.02234,190-200,0421,ST. THOMAS WALK,SKYLINE 360 @ SAINT THOMAS WALK,09
3,9000,Non-landed Properties,1700-1800,31020.7281,28387.02234,160-170,0621,ST. THOMAS WALK,SKYLINE 360 @ SAINT THOMAS WALK,09
5,15000,Non-landed Properties,>3000,31020.7281,28387.02234,>300,0621,ST. THOMAS WALK,SKYLINE 360 @ SAINT THOMAS WALK,09
3,7500,Non-landed Properties,1700-1800,31020.7281,28387.02234,160-170,0421,ST. THOMAS WALK,SKYLINE 360 @ SAINT THOMAS WALK,09
NA,3400,Terrace House,1500-2000,40724.31894,32745.76002,150-200,0621,SELETAR HILLS DRIVE,SELETAR VIEW,28
NA,7000,Semi-Detached House,3000-3500,34119.19497,22694.83008,300-350,0621,GREENLEAF PLACE,BAN GUAN PARK,10
NA,8000,Semi-Detached House,3000-3500,34119.19497,22694.83008,300-350,0621,GREENLEAF PLACE,BAN GUAN PARK,10
3,3700,Non-landed Properties,1200-1300,37918.60246,29348.17214,110-120,0521,BISHAN STREET 25,CLOVER BY THE PARK,20
4,5200,Non-landed Properties,1700-1800,37918.60246,29348.17214,160-170,0521,BISHAN STREET 25,CLOVER BY THE PARK,20
3,4000,Non-landed Properties,1200-1300,37918.60246,29348.17214,110-120,0421,BISHAN STREET 25,CLOVER BY THE PARK,20
3,3800,Non-landed Properties,1200-1300,37918.60246,29348.17214,110-120,0621,BISHAN STREET 25,CLOVER BY THE PARK,20
3,3500,Non-landed Properties,1200-1300,37918.60246,29348.17214,110-120,0621,BISHAN STREET 25,CLOVER BY THE PARK,20
3,3800,Non-landed Properties,1600-1700,37918.60246,29348.17214,140-150,0421,BISHAN STREET 25,CLOVER BY THE PARK,20
3,4000,Non-landed Properties,1200-1300,37918.60246,29348.17214,110-120,0521,BISHAN STREET 25,CLOVER BY THE PARK,20
3,3500,Non-landed Properties,1200-1300,37918.60246,29348.17214,110-120,0521,BISHAN STREET 25,CLOVER BY THE PARK,20
3,4600,Non-landed Properties,1500-1600,37918.60246,29348.17214,140-150,0521,BISHAN STREET 25,CLOVER BY THE PARK,20
4,6000,Non-landed Properties,1700-1800,37918.60246,29348.17214,160-170,0521,BISHAN STREET 25,CLOVER BY THE PARK,20
4,5600,Non-landed Properties,1700-1800,37918.60246,29348.17214,160-170,0421,BISHAN STREET 25,CLOVER BY THE PARK,20
3,3300,Non-landed Properties,1600-1700,37918.60246,29348.17214,140-150,0621,BISHAN STREET 25,CLOVER BY THE PARK,20
3,4100,Non-landed Properties,1200-1300,37918.60246,29348.17214,110-120,0621,BISHAN STREET 25,CLOVER BY THE PARK,20
3,4500,Non-landed Properties,1600-1700,37918.60246,29348.17214,140-150,0621,BISHAN STREET 25,CLOVER BY THE PARK,20
3,3900,Non-landed Properties,1200-1300,37918.60246,29348.17214,110-120,0621,BISHAN STREET 25,CLOVER BY THE PARK,20
3,3600,Non-landed Properties,1200-1300,37918.60246,29348.17214,110-120,0621,BISHAN STREET 25,CLOVER BY THE PARK,20
3,4000,Non-landed Properties,1200-1300,37918.60246,29348.17214,110-120,0421,BISHAN STREET 25,CLOVER BY THE PARK,20
2,4100,Non-landed Properties,1000-1100,30581.35259,27076.28021,90-100,0521,JERVOIS CLOSE,ONE JERVOIS,10
2,4200,Non-landed Properties,1000-1100,30581.35259,27076.28021,90-100,0521,JERVOIS CLOSE,ONE JERVOIS,10
3,5500,Non-landed Properties,1300-1400,30581.35259,27076.28021,120-130,0521,JERVOIS CLOSE,ONE JERVOIS,10
2,3900,Non-landed Properties,1000-1100,30581.35259,27076.28021,90-100,0621,JERVOIS CLOSE,ONE JERVOIS,10
2,4000,Non-landed Properties,900-1000,30581.35259,27076.28021,90-100,0621,JERVOIS CLOSE,ONE JERVOIS,10
2,3900,Non-landed Properties,1000-1100,30581.35259,27076.28021,90-100,0621,JERVOIS CLOSE,ONE JERVOIS,10
3,5100,Non-landed Properties,1300-1400,30581.35259,27076.28021,120-130,0421,JERVOIS CLOSE,ONE JERVOIS,10
2,3600,Non-landed Properties,900-1000,30581.35259,27076.28021,90-100,0421,JERVOIS CLOSE,ONE JERVOIS,10
2,4100,Non-landed Properties,1000-1100,30581.35259,27076.28021,90-100,0521,JERVOIS CLOSE,ONE JERVOIS,10
2,3800,Non-landed Properties,1000-1100,30581.35259,27076.28021,100-110,0421,JERVOIS CLOSE,ONE JERVOIS,10
2,3900,Non-landed Properties,1000-1100,30581.35259,27076.28021,100-110,0421,JERVOIS CLOSE,ONE JERVOIS,10
3,6500,Non-landed Properties,1400-1500,30581.35259,27076.28021,130-140,0421,JERVOIS CLOSE,ONE JERVOIS,10
2,4100,Non-landed Properties,1000-1100,30581.35259,27076.28021,90-100,0421,JERVOIS CLOSE,ONE JERVOIS,10
3,4850,Non-landed Properties,1200-1300,30581.35259,27076.28021,110-120,0521,JERVOIS CLOSE,ONE JERVOIS,10
3,5500,Non-landed Properties,1200-1300,30581.35259,27076.28021,110-120,0521,JERVOIS CLOSE,ONE JERVOIS,10
3,5100,Non-landed Properties,1200-1300,30581.35259,27076.28021,110-120,0421,JERVOIS CLOSE,ONE JERVOIS,10
3,5800,Non-landed Properties,1200-1300,30581.35259,27076.28021,110-120,0521,JERVOIS CLOSE,ONE JERVOIS,10
4,6300,Non-landed Properties,1700-1800,30581.35259,27076.28021,160-170,0421,JERVOIS CLOSE,ONE JERVOIS,10
3,5250,Non-landed Properties,1200-1300,30581.35259,27076.28021,110-120,0621,JERVOIS CLOSE,ONE JERVOIS,10
3,6090,Non-landed Properties,1200-1300,30581.35259,27076.28021,110-120,0421,JERVOIS CLOSE,ONE JERVOIS,10
4,6800,Non-landed Properties,1800-1900,30581.35259,27076.28021,170-180,0421,JERVOIS CLOSE,ONE JERVOIS,10
2,3900,Non-landed Properties,1000-1100,30581.35259,27076.28021,90-100,0521,JERVOIS CLOSE,ONE JERVOIS,10
3,5400,Non-landed Properties,1300-1400,30581.35259,27076.28021,120-130,0521,JERVOIS CLOSE,ONE JERVOIS,10
2,3500,Non-landed Properties,1000-1100,30581.35259,27076.28021,90-100,0421,JERVOIS CLOSE,ONE JERVOIS,10
2,4000,Non-landed Properties,1000-1100,30581.35259,27076.28021,90-100,0621,JERVOIS CLOSE,ONE JERVOIS,10
4,6600,Non-landed Properties,1700-1800,30581.35259,27076.28021,150-160,0621,JERVOIS CLOSE,ONE JERVOIS,10
4,6400,Non-landed Properties,1700-1800,30581.35259,27076.28021,150-160,0421,JERVOIS CLOSE,ONE JERVOIS,10
3,3000,Non-landed Properties,1200-1300,31734.84519,35847.97962,110-120,0421,BROOKE ROAD,THE PALLADIUM,15
3,3450,Non-landed Properties,1200-1300,31734.84519,35847.97962,110-120,0621,BROOKE ROAD,THE PALLADIUM,15
3,3500,Non-landed Properties,1200-1300,31734.84519,35847.97962,110-120,0621,BROOKE ROAD,THE PALLADIUM,15
3,3000,Non-landed Properties,1200-1300,31734.84519,35847.97962,110-120,0621,BROOKE ROAD,THE PALLADIUM,15
NA,2100,Non-landed Properties,1000-1100,45550.55302,27250.24609,90-100,0421,SEMBAWANG ROAD,SEMBAWANG PARK,27
3,2450,Non-landed Properties,1300-1400,36192.08637,33415.04046,120-130,0421,HOW SUN CLOSE,CRYSTAL DE AZURE,19
2,3200,Non-landed Properties,1000-1100,35714.86559,13837.57573,90-100,0521,JURONG WEST CENTRAL 3,THE CENTRIS,22
3,4150,Non-landed Properties,1200-1300,35714.86559,13837.57573,110-120,0621,JURONG WEST CENTRAL 3,THE CENTRIS,22
3,3400,Non-landed Properties,1200-1300,35714.86559,13837.57573,110-120,0521,JURONG WEST CENTRAL 3,THE CENTRIS,22
2,3650,Non-landed Properties,900-1000,35714.86559,13837.57573,80-90,0521,JURONG WEST CENTRAL 3,THE CENTRIS,22
2,3000,Non-landed Properties,900-1000,35714.86559,13837.57573,80-90,0521,JURONG WEST CENTRAL 3,THE CENTRIS,22
3,3800,Non-landed Properties,1200-1300,35714.86559,13837.57573,110-120,0521,JURONG WEST CENTRAL 3,THE CENTRIS,22
2,3300,Non-landed Properties,900-1000,35714.86559,13837.57573,80-90,0621,JURONG WEST CENTRAL 3,THE CENTRIS,22
3,3600,Non-landed Properties,1000-1100,35714.86559,13837.57573,90-100,0621,JURONG WEST CENTRAL 3,THE CENTRIS,22
2,3300,Non-landed Properties,900-1000,35714.86559,13837.57573,90-100,0621,JURONG WEST CENTRAL 3,THE CENTRIS,22
3,4500,Non-landed Properties,1200-1300,35714.86559,13837.57573,110-120,0621,JURONG WEST CENTRAL 3,THE CENTRIS,22
3,3800,Non-landed Properties,1000-1100,35714.86559,13837.57573,90-100,0421,JURONG WEST CENTRAL 3,THE CENTRIS,22
2,2800,Non-landed Properties,900-1000,35714.86559,13837.57573,80-90,0621,JURONG WEST CENTRAL 3,THE CENTRIS,22
3,4500,Non-landed Properties,1300-1400,35714.86559,13837.57573,120-130,0521,JURONG WEST CENTRAL 3,THE CENTRIS,22
2,3400,Non-landed Properties,900-1000,35714.86559,13837.57573,80-90,0521,JURONG WEST CENTRAL 3,THE CENTRIS,22
