noOfBedRoom,rent,propertyType,areaSqft,y,x,areaSqm,leaseDate,street,project,district
NA,5200,Terrace House,2500-3000,30526.52507,20862.4977,250-300,0621,NEO PEE TECK LANE,LANDED HOUSING DEVELOPMENT,05
NA,10827,Non-landed Properties,1800-1900,32559.33503,27107.4972,170-180,0521,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
4,11399,Non-landed Properties,2100-2200,32559.33503,27107.4972,190-200,0521,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
4,9379,Non-landed Properties,2000-2100,32559.33503,27107.4972,190-200,0421,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
NA,13486,Non-landed Properties,1700-1800,32559.33503,27107.4972,160-170,0621,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
NA,9748,Non-landed Properties,1800-1900,32559.33503,27107.4972,170-180,0621,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
4,10496,Non-landed Properties,2100-2200,32559.33503,27107.4972,190-200,0621,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
2,1800,Non-landed Properties,700-800,32580.40016,36308.351,60-70,0621,LORONG L TELOK KURAU,SUNSHINE LOFT,15
NA,2400,Non-landed Properties,1300-1400,37427.10251,32687.47201,120-130,0621,LIM TUA TOW ROAD,CASA RIVIERA,19
NA,3400,Non-landed Properties,1200-1300,37427.10251,32687.47201,110-120,0421,LIM TUA TOW ROAD,CASA RIVIERA,19
NA,5500,Terrace House,3500-4000,39774.85628,27972.32684,300-350,0421,ANG MO KIO AVENUE 2,HORIZON GREEN,20
3,2700,Non-landed Properties,1200-1300,30989.74224,32570.66612,110-120,0521,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
1,2000,Non-landed Properties,600-700,30989.74224,32570.66612,50-60,0521,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,3000,Non-landed Properties,1300-1400,30989.74224,32570.66612,120-130,0521,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
2,2100,Non-landed Properties,800-900,30989.74224,32570.66612,70-80,0521,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,3600,Non-landed Properties,1300-1400,30989.74224,32570.66612,120-130,0421,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,3200,Non-landed Properties,1300-1400,30989.74224,32570.66612,120-130,0421,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,3500,Non-landed Properties,1300-1400,30989.74224,32570.66612,120-130,0421,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
2,2600,Non-landed Properties,900-1000,30989.74224,32570.66612,80-90,0621,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,3000,Non-landed Properties,1200-1300,30989.74224,32570.66612,110-120,0621,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,3600,Non-landed Properties,1300-1400,30989.74224,32570.66612,120-130,0621,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
1,1700,Non-landed Properties,600-700,30989.74224,32570.66612,50-60,0621,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
2,2500,Non-landed Properties,800-900,30989.74224,32570.66612,70-80,0621,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
2,2550,Non-landed Properties,800-900,30989.74224,32570.66612,70-80,0621,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,3000,Non-landed Properties,1200-1300,30989.74224,32570.66612,110-120,0621,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,3250,Non-landed Properties,1200-1300,30989.74224,32570.66612,110-120,0421,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
1,1800,Non-landed Properties,600-700,30989.74224,32570.66612,50-60,0421,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
1,2000,Non-landed Properties,600-700,30989.74224,32570.66612,50-60,0421,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,3000,Non-landed Properties,1200-1300,32655.63524,39140.90324,110-120,0521,MARINE PARADE ROAD,TAIPAN GRAND,15
NA,18040,Detached House,>8000,31710.12962,26714.01186,>800,0621,TANGLIN ROAD,LANDED HOUSING DEVELOPMENT,10
2,2300,Non-landed Properties,1100-1200,45696.29803,22726.02892,100-110,0521,ROSEWOOD DRIVE,ROSEWOOD SUITES,25
3,2500,Non-landed Properties,1500-1600,45696.29803,22726.02892,140-150,0521,ROSEWOOD DRIVE,ROSEWOOD SUITES,25
4,3300,Non-landed Properties,1800-1900,45696.29803,22726.02892,170-180,0521,ROSEWOOD DRIVE,ROSEWOOD SUITES,25
3,2800,Non-landed Properties,1500-1600,45696.29803,22726.02892,140-150,0621,ROSEWOOD DRIVE,ROSEWOOD SUITES,25
4,4300,Non-landed Properties,1800-1900,45696.29803,22726.02892,170-180,0621,ROSEWOOD DRIVE,ROSEWOOD SUITES,25
3,3000,Non-landed Properties,1200-1300,45696.29803,22726.02892,110-120,0521,ROSEWOOD DRIVE,ROSEWOOD SUITES,25
4,5000,Non-landed Properties,2700-2800,45696.29803,22726.02892,250-260,0621,ROSEWOOD DRIVE,ROSEWOOD SUITES,25
3,2350,Non-landed Properties,1000-1100,45696.29803,22726.02892,90-100,0421,ROSEWOOD DRIVE,ROSEWOOD SUITES,25
