noOfBedRoom,rent,propertyType,areaSqft,y,x,areaSqm,leaseDate,street,project,district
NA,8200,Terrace House,1500-2000,30608.42337,20864.19651,150-200,0523,NEO PEE TECK LANE,LANDED HOUSING DEVELOPMENT,05
NA,7000,Terrace House,1500-2000,30608.42337,20864.19651,100-150,0523,NEO PEE TECK LANE,LANDED HOUSING DEVELOPMENT,05
NA,12359,Non-landed Properties,1800-1900,32559.33503,27107.4972,170-180,0523,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
NA,10970,Non-landed Properties,1600-1700,32559.33503,27107.4972,150-160,0523,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
4,11263,Non-landed Properties,2000-2100,32559.33503,27107.4972,190-200,0623,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
4,14504,Non-landed Properties,2100-2200,32559.33503,27107.4972,190-200,0623,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
2,3000,Non-landed Properties,700-800,32580.40016,36308.351,60-70,0623,LORONG L TELOK KURAU,SUNSHINE LOFT,15
NA,4200,Non-landed Properties,1200-1300,37427.10251,32687.47201,110-120,0423,LIM TUA TOW ROAD,CASA RIVIERA,19
NA,3000,Non-landed Properties,1300-1400,37427.10251,32687.47201,120-130,0623,LIM TUA TOW ROAD,CASA RIVIERA,19
NA,6800,Terrace House,3000-3500,39692.74644,27923.9286,300-350,0423,ANG MO KIO AVENUE 2,HORIZON GREEN,20
NA,6500,Terrace House,3500-4000,39692.74644,27923.9286,300-350,0423,ANG MO KIO AVENUE 2,HORIZON GREEN,20
3,4500,Non-landed Properties,1300-1400,30989.74224,32570.66612,120-130,0423,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,4400,Non-landed Properties,1200-1300,30989.74224,32570.66612,110-120,0423,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,5300,Non-landed Properties,1300-1400,30989.74224,32570.66612,120-130,0423,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
1,3900,Non-landed Properties,600-700,30989.74224,32570.66612,60-70,0423,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,6500,Non-landed Properties,1300-1400,30989.74224,32570.66612,120-130,0423,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,4000,Non-landed Properties,1200-1300,30989.74224,32570.66612,110-120,0423,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,5000,Non-landed Properties,1200-1300,30989.74224,32570.66612,110-120,0623,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
1,3200,Non-landed Properties,600-700,30989.74224,32570.66612,50-60,0623,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,5600,Non-landed Properties,1200-1300,30989.74224,32570.66612,110-120,0623,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,6000,Non-landed Properties,1200-1300,30989.74224,32570.66612,110-120,0523,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,5300,Non-landed Properties,1200-1300,30989.74224,32570.66612,110-120,0623,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,5300,Non-landed Properties,1200-1300,30989.74224,32570.66612,110-120,0623,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,5800,Non-landed Properties,1200-1300,30989.74224,32570.66612,110-120,0623,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
1,3100,Non-landed Properties,600-700,30989.74224,32570.66612,50-60,0623,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,4150,Non-landed Properties,1200-1300,32655.63524,39140.90324,110-120,0523,MARINE PARADE ROAD,TAIPAN GRAND,15
3,3500,Non-landed Properties,1500-1600,45692.75139,22777.55093,140-150,0523,ROSEWOOD DRIVE,ROSEWOOD SUITES,25
3,4300,Non-landed Properties,1500-1600,45692.75139,22777.55093,140-150,0423,ROSEWOOD DRIVE,ROSEWOOD SUITES,25
