noOfBedRoom,rent,propertyType,areaSqft,y,x,areaSqm,leaseDate,street,project,district
NA,2900,Terrace House,2000-2500,41243.63859,28346.68491,200-250,1220,LENTOR TERRACE,FUDU PARK,26
NA,3500,Terrace House,1500-2000,30543.77977,20819.04928,150-200,1220,NEO PEE TECK LANE,LANDED HOUSING DEVELOPMENT,05
4,11902,Non-landed Properties,2200-2300,32559.33503,27107.4972,200-210,1020,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
NA,7879,Non-landed Properties,1500-1600,32559.33503,27107.4972,140-150,1020,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
NA,6477,Non-landed Properties,1600-1700,32559.33503,27107.4972,150-160,1020,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
4,10314,Non-landed Properties,2000-2100,32559.33503,27107.4972,190-200,1220,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
4,13865,Non-landed Properties,2000-2100,32559.33503,27107.4972,190-200,1220,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
4,11248,Non-landed Properties,2000-2100,32559.33503,27107.4972,190-200,1120,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
NA,8346,Non-landed Properties,1600-1700,32559.33503,27107.4972,150-160,1120,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
NA,9281,Non-landed Properties,1600-1700,32559.33503,27107.4972,150-160,1120,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
NA,12552,Non-landed Properties,1700-1800,32559.33503,27107.4972,160-170,1120,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
NA,6944,Non-landed Properties,1500-1600,32559.33503,27107.4972,140-150,1220,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
NA,2250,Non-landed Properties,1100-1200,37427.10251,32687.47201,100-110,1020,LIM TUA TOW ROAD,CASA RIVIERA,19
NA,2600,Non-landed Properties,1100-1200,37427.10251,32687.47201,100-110,1220,LIM TUA TOW ROAD,CASA RIVIERA,19
NA,3000,Non-landed Properties,1300-1400,37427.10251,32687.47201,120-130,1120,LIM TUA TOW ROAD,CASA RIVIERA,19
NA,3000,Non-landed Properties,1200-1300,37427.10251,32687.47201,110-120,1120,LIM TUA TOW ROAD,CASA RIVIERA,19
NA,2530,Non-landed Properties,1200-1300,37427.10251,32687.47201,110-120,1120,LIM TUA TOW ROAD,CASA RIVIERA,19
NA,4600,Terrace House,3000-3500,39770.20595,28022.17475,250-300,1120,ANG MO KIO AVENUE 2,HORIZON GREEN,20
NA,5800,Terrace House,3000-3500,39770.20595,28022.17475,300-350,1120,ANG MO KIO AVENUE 2,HORIZON GREEN,20
NA,5200,Terrace House,3000-3500,39770.20595,28022.17475,250-300,1020,ANG MO KIO AVENUE 2,HORIZON GREEN,20
