noOfUnits,tenure,marketSegment,typeOfSale,district,nettPrice,x,propertyType,price,project,y,floorRange,area,street,contractDate,typeOfArea
1,Freehold,CCR,3,10,,27709.58839,Apartment,2400000,RESIDENTIAL APARTMENTS,32445.73724,01-05,106,DRAYCOTT DRIVE,0521,Strata
1,Freehold,CCR,3,10,,27709.58839,Apartment,4800000,RESIDENTIAL APARTMENTS,32445.73724,01-05,197,DRAYCOTT DRIVE,0122,Strata
1,Freehold,CCR,3,10,,27709.58839,Apartment,3600000,RESIDENTIAL APARTMENTS,32445.73724,06-10,140,DRAYCOTT DRIVE,0222,Strata
1,Freehold,CCR,3,10,,27709.58839,Apartment,3400000,RESIDENTIAL APARTMENTS,32445.73724,06-10,134,DRAYCOTT DRIVE,0323,Strata
1,Freehold,CCR,3,10,,27709.58839,Apartment,2500000,RESIDENTIAL APARTMENTS,32445.73724,11-15,106,DRAYCOTT DRIVE,0423,Strata
1,Freehold,CCR,3,10,,27709.58839,Apartment,3800000,RESIDENTIAL APARTMENTS,32445.73724,01-05,140,DRAYCOTT DRIVE,1022,Strata
1,Freehold,CCR,3,10,,27709.58839,Apartment,5000000,RESIDENTIAL APARTMENTS,32445.73724,06-10,197,DRAYCOTT DRIVE,0724,Strata
1,Freehold,CCR,3,10,,27709.58839,Apartment,3360000,RESIDENTIAL APARTMENTS,32445.73724,11-15,134,DRAYCOTT DRIVE,0724,Strata
1,Freehold,CCR,3,10,,27709.58839,Apartment,3300000,RESIDENTIAL APARTMENTS,32445.73724,01-05,134,DRAYCOTT DRIVE,0524,Strata
1,Freehold,CCR,3,10,,27709.58839,Apartment,2700000,RESIDENTIAL APARTMENTS,32445.73724,06-10,106,DRAYCOTT DRIVE,0325,Strata
1,Freehold,CCR,3,10,,27709.58839,Apartment,3900000,RESIDENTIAL APARTMENTS,32445.73724,01-05,140,DRAYCOTT DRIVE,0525,Strata
1,Freehold,CCR,3,10,,27170.82339,Condominium,4750000,CLIVEDEN AT GRANGE,31343.99359,06-10,200,GRANGE ROAD,0425,Strata
1,Freehold,CCR,3,10,,27170.82339,Condominium,8000000,CLIVEDEN AT GRANGE,31343.99359,06-10,264,GRANGE ROAD,1221,Strata
1,Freehold,CCR,3,10,,27170.82339,Condominium,9197420,CLIVEDEN AT GRANGE,31343.99359,16-20,264,GRANGE ROAD,0621,Strata
1,Freehold,CCR,3,10,,27170.82339,Condominium,9378600,CLIVEDEN AT GRANGE,31343.99359,21-25,264,GRANGE ROAD,0322,Strata
1,Freehold,CCR,3,10,,27170.82339,Condominium,5700000,CLIVEDEN AT GRANGE,31343.99359,21-25,200,GRANGE ROAD,0422,Strata
1,Freehold,CCR,3,10,,27170.82339,Condominium,7700000,CLIVEDEN AT GRANGE,31343.99359,11-15,264,GRANGE ROAD,0522,Strata
1,Freehold,CCR,3,10,,27170.82339,Condominium,7600000,CLIVEDEN AT GRANGE,31343.99359,06-10,264,GRANGE ROAD,0522,Strata
1,Freehold,CCR,3,10,,27170.82339,Condominium,8300000,CLIVEDEN AT GRANGE,31343.99359,11-15,264,GRANGE ROAD,0422,Strata
1,Freehold,CCR,3,10,,27170.82339,Condominium,8000000,CLIVEDEN AT GRANGE,31343.99359,16-20,264,GRANGE ROAD,0422,Strata
1,Freehold,CCR,3,10,,27170.82339,Condominium,9100000,CLIVEDEN AT GRANGE,31343.99359,01-05,264,GRANGE ROAD,1122,Strata
1,Freehold,CCR,3,10,,27170.82339,Condominium,8100000,CLIVEDEN AT GRANGE,31343.99359,06-10,264,GRANGE ROAD,0523,Strata
1,Freehold,CCR,3,10,,27170.82339,Condominium,9800000,CLIVEDEN AT GRANGE,31343.99359,16-20,264,GRANGE ROAD,1123,Strata
1,Freehold,CCR,3,10,,27170.82339,Condominium,4800000,CLIVEDEN AT GRANGE,31343.99359,11-15,200,GRANGE ROAD,0125,Strata
1,Freehold,CCR,3,10,,27170.82339,Condominium,7800000,CLIVEDEN AT GRANGE,31343.99359,01-05,264,GRANGE ROAD,0325,Strata
1,Freehold,CCR,3,10,,27170.82339,Condominium,4700000,CLIVEDEN AT GRANGE,31343.99359,16-20,200,GRANGE ROAD,1124,Strata
1,Freehold,CCR,3,10,,26732.9142738939,Detached,128800800,LANDED HOUSING DEVELOPMENT,32602.1160809197,-,2987.7,NASSIM ROAD,0321,Land
1,Freehold,CCR,1,09,,28600.94228,Apartment,2924000,8 HULLET,31705.84845,01-05,74,HULLET ROAD,0821,Strata
1,Freehold,CCR,1,09,,28600.94228,Apartment,2330831,8 HULLET,31705.84845,01-05,74,HULLET ROAD,0422,Strata
1,Freehold,CCR,1,09,,28600.94228,Apartment,2398000,8 HULLET,31705.84845,01-05,74,HULLET ROAD,0422,Strata
1,Freehold,CCR,1,09,,28600.94228,Apartment,1676930,8 HULLET,31705.84845,06-10,50,HULLET ROAD,0422,Strata
1,Freehold,CCR,1,09,,28600.94228,Apartment,1589546,8 HULLET,31705.84845,01-05,50,HULLET ROAD,0422,Strata
1,Freehold,CCR,1,09,,28600.94228,Apartment,1596467,8 HULLET,31705.84845,01-05,50,HULLET ROAD,0422,Strata
1,Freehold,CCR,1,09,,28600.94228,Apartment,1616366,8 HULLET,31705.84845,06-10,50,HULLET ROAD,0422,Strata
1,Freehold,CCR,1,09,,28600.94228,Apartment,1711538,8 HULLET,31705.84845,11-15,50,HULLET ROAD,0422,Strata
1,Freehold,CCR,3,09,,28619.93008,Condominium,2500000,OLEANAS RESIDENCE,30648.60649,06-10,144,KIM YAM ROAD,1120,Strata
1,Freehold,CCR,3,09,,28619.93008,Condominium,2550000,OLEANAS RESIDENCE,30648.60649,01-05,144,KIM YAM ROAD,0421,Strata
1,Freehold,CCR,3,09,,28619.93008,Condominium,3020000,OLEANAS RESIDENCE,30648.60649,06-10,152,KIM YAM ROAD,0921,Strata
1,Freehold,CCR,3,09,,28619.93008,Condominium,2790000,OLEANAS RESIDENCE,30648.60649,06-10,144,KIM YAM ROAD,1121,Strata
1,Freehold,CCR,3,09,,28619.93008,Condominium,3100000,OLEANAS RESIDENCE,30648.60649,16-20,144,KIM YAM ROAD,0622,Strata
1,Freehold,CCR,3,09,,28619.93008,Condominium,3100000,OLEANAS RESIDENCE,30648.60649,11-15,144,KIM YAM ROAD,0622,Strata
1,Freehold,CCR,3,09,,28619.93008,Condominium,2400000,OLEANAS RESIDENCE,30648.60649,16-20,115,KIM YAM ROAD,0622,Strata
1,Freehold,CCR,3,09,,28619.93008,Condominium,2670000,OLEANAS RESIDENCE,30648.60649,21-25,115,KIM YAM ROAD,0822,Strata
1,Freehold,CCR,3,09,,28619.93008,Condominium,3300000,OLEANAS RESIDENCE,30648.60649,16-20,152,KIM YAM ROAD,1222,Strata
1,Freehold,CCR,3,09,,28619.93008,Condominium,2450000,OLEANAS RESIDENCE,30648.60649,21-25,106,KIM YAM ROAD,1022,Strata
1,Freehold,CCR,3,09,,28619.93008,Condominium,3200000,OLEANAS RESIDENCE,30648.60649,21-25,155,KIM YAM ROAD,1023,Strata
1,Freehold,CCR,3,09,,28619.93008,Condominium,3300000,OLEANAS RESIDENCE,30648.60649,01-05,144,KIM YAM ROAD,0424,Strata
1,Freehold,CCR,3,09,,28619.93008,Condominium,2400000,OLEANAS RESIDENCE,30648.60649,01-05,106,KIM YAM ROAD,1123,Strata
1,Freehold,CCR,3,09,,28619.93008,Condominium,3230000,OLEANAS RESIDENCE,30648.60649,11-15,144,KIM YAM ROAD,0725,Strata
1,Freehold,CCR,3,09,,28619.93008,Condominium,2518000,OLEANAS RESIDENCE,30648.60649,06-10,106,KIM YAM ROAD,0225,Strata
1,Freehold,CCR,3,11,,26345.8132650203,Detached,10490000,LANDED HOUSING DEVELOPMENT,34041.947633182,-,449.2,JALAN TEMPUA,0621,Land
1,Freehold,CCR,3,10,,24100.3194129276,Detached,8000000,LANDED HOUSING DEVELOPMENT,34050.0531055009,-,508.5,NAMLY VIEW,1220,Land
1,Freehold,CCR,3,10,,24100.3194129276,Detached,11300000,LANDED HOUSING DEVELOPMENT,34050.0531055009,-,476.8,NAMLY VIEW,0922,Land
1,Freehold,RCR,3,14,,32901.08925,Terrace,3400000,LANDED HOUSING DEVELOPMENT,32670.99242,-,187.6,LORONG 10 GEYLANG,0922,Land
1,Freehold,CCR,3,10,,24678.36399,Semi-detached,5950000,KING'S GARDEN,33283.73482,-,317.4,KING'S CLOSE,0721,Land
1,999 yrs lease commencing from 1875,CCR,3,10,,24678.36399,Semi-detached,8738000,KING'S GARDEN,33283.73482,-,405.2,KING'S CLOSE,1021,Land
1,999 yrs lease commencing from 1875,CCR,3,10,,24678.36399,Semi-detached,9280000,KING'S GARDEN,33283.73482,-,421.2,KING'S CLOSE,0522,Land
1,Freehold,CCR,3,10,,24678.36399,Detached,11850000,KING'S GARDEN,33283.73482,-,431.4,KING'S CLOSE,0622,Land
1,Freehold,CCR,3,10,,24678.36399,Detached,21000000,KING'S GARDEN,33283.73482,-,1064.4,KING'S CLOSE,1022,Land
1,Freehold,CCR,3,10,,24678.36399,Terrace,5700000,KING'S GARDEN,33283.73482,-,199.2,KING'S CLOSE,0723,Land
1,Freehold,CCR,3,10,,24678.36399,Terrace,7200000,KING'S GARDEN,33283.73482,-,250.6,KING'S CLOSE,0424,Land
1,Freehold,CCR,3,10,,24678.36399,Semi-detached,9630000,KING'S GARDEN,33283.73482,-,382.5,KING'S CLOSE,0724,Land
1,Freehold,RCR,3,14,,33835.46762,Apartment,590000,EDENZ SUITES,32795.99741,01-05,44,LORONG 28 GEYLANG,1120,Strata
1,Freehold,RCR,3,14,,33835.46762,Apartment,620000,EDENZ SUITES,32795.99741,01-05,46,LORONG 28 GEYLANG,0121,Strata
1,Freehold,RCR,3,14,,33835.46762,Apartment,520000,EDENZ SUITES,32795.99741,01-05,42,LORONG 28 GEYLANG,0321,Strata
1,Freehold,RCR,3,14,,33835.46762,Apartment,560000,EDENZ SUITES,32795.99741,06-10,42,LORONG 28 GEYLANG,0421,Strata
1,Freehold,RCR,3,14,,33835.46762,Apartment,598000,EDENZ SUITES,32795.99741,01-05,41,LORONG 28 GEYLANG,0522,Strata
1,Freehold,RCR,3,14,,33835.46762,Apartment,618000,EDENZ SUITES,32795.99741,01-05,41,LORONG 28 GEYLANG,0822,Strata
1,Freehold,RCR,3,14,,33835.46762,Apartment,643000,EDENZ SUITES,32795.99741,01-05,46,LORONG 28 GEYLANG,0323,Strata
1,Freehold,RCR,3,14,,33835.46762,Apartment,692000,EDENZ SUITES,32795.99741,06-10,45,LORONG 28 GEYLANG,0423,Strata
1,Freehold,RCR,3,14,,33835.46762,Apartment,722000,EDENZ SUITES,32795.99741,06-10,46,LORONG 28 GEYLANG,0423,Strata
1,Freehold,RCR,3,14,,33835.46762,Apartment,670000,EDENZ SUITES,32795.99741,06-10,44,LORONG 28 GEYLANG,1123,Strata
1,Freehold,RCR,3,14,,33835.46762,Apartment,645000,EDENZ SUITES,32795.99741,06-10,42,LORONG 28 GEYLANG,0424,Strata
1,Freehold,RCR,3,14,,33835.46762,Apartment,682888,EDENZ SUITES,32795.99741,01-05,41,LORONG 28 GEYLANG,0524,Strata
1,Freehold,RCR,3,14,,33835.46762,Apartment,700000,EDENZ SUITES,32795.99741,01-05,45,LORONG 28 GEYLANG,0524,Strata
1,Freehold,RCR,3,14,,33835.46762,Apartment,685000,EDENZ SUITES,32795.99741,01-05,44,LORONG 28 GEYLANG,0124,Strata
1,Freehold,RCR,3,14,,33835.46762,Apartment,668000,EDENZ SUITES,32795.99741,01-05,41,LORONG 28 GEYLANG,0624,Strata
1,Freehold,RCR,3,14,,33835.46762,Apartment,666000,EDENZ SUITES,32795.99741,01-05,42,LORONG 28 GEYLANG,0524,Strata
1,Freehold,RCR,3,14,,33835.46762,Apartment,648000,EDENZ SUITES,32795.99741,06-10,44,LORONG 28 GEYLANG,0925,Strata
1,Freehold,CCR,3,10,,28108.74975,Apartment,4200000,THE BALMORAL SPRING,33083.10425,06-10,252,BALMORAL CRESCENT,1221,Strata
1,Freehold,CCR,3,10,,28108.74975,Apartment,2285000,THE BALMORAL SPRING,33083.10425,01-05,100,BALMORAL CRESCENT,0323,Strata
1,Freehold,CCR,3,10,,28108.74975,Apartment,2700000,THE BALMORAL SPRING,33083.10425,06-10,114,BALMORAL CRESCENT,1223,Strata
1,Freehold,CCR,3,10,,28108.74975,Apartment,2700000,THE BALMORAL SPRING,33083.10425,06-10,104,BALMORAL CRESCENT,1024,Strata
1,Freehold,CCR,3,10,,28108.74975,Apartment,2350000,THE BALMORAL SPRING,33083.10425,06-10,100,BALMORAL CRESCENT,0823,Strata
1,Freehold,CCR,3,10,,28108.74975,Apartment,2650000,THE BALMORAL SPRING,33083.10425,01-05,104,BALMORAL CRESCENT,0224,Strata
1,Freehold,CCR,3,10,,28108.74975,Apartment,3165000,THE BALMORAL SPRING,33083.10425,01-05,126,BALMORAL CRESCENT,0325,Strata
1,Freehold,CCR,3,11,,28124.2492900029,Semi-detached,9200000,LANDED HOUSING DEVELOPMENT,33584.1595429209,-,473.2,BARKER ROAD,0821,Land
1,Freehold,CCR,3,11,,28124.2492900029,Terrace,5380000,LANDED HOUSING DEVELOPMENT,33584.1595429209,-,242.3,BARKER ROAD,0421,Land
1,Freehold,CCR,3,11,,28124.2492900029,Detached,10800000,LANDED HOUSING DEVELOPMENT,33584.1595429209,-,607.2,BARKER ROAD,0321,Land
1,Freehold,CCR,3,11,,28124.2492900029,Terrace,5500000,LANDED HOUSING DEVELOPMENT,33584.1595429209,-,153.6,BARKER ROAD,0921,Land
2,Freehold,CCR,3,11,,28124.2492900029,Detached,32200000,LANDED HOUSING DEVELOPMENT,33584.1595429209,-,1312.1,BARKER ROAD,0523,Land
1,Freehold,CCR,3,11,,28124.2492900029,Semi-detached,14160000,LANDED HOUSING DEVELOPMENT,33584.1595429209,-,473.2,BARKER ROAD,0624,Land
1,Freehold,CCR,3,11,,28124.2492900029,Detached,13680000,LANDED HOUSING DEVELOPMENT,33584.1595429209,-,607.2,BARKER ROAD,0425,Land
1,Freehold,CCR,3,11,,28124.2492900029,Semi-detached,9200000,LANDED HOUSING DEVELOPMENT,33584.1595429209,-,473.2,BARKER ROAD,0821,Land
1,Freehold,CCR,3,11,,28124.2492900029,Terrace,5380000,LANDED HOUSING DEVELOPMENT,33584.1595429209,-,242.3,BARKER ROAD,0421,Land
1,Freehold,CCR,3,11,,28124.2492900029,Detached,10800000,LANDED HOUSING DEVELOPMENT,33584.1595429209,-,607.2,BARKER ROAD,0321,Land
1,Freehold,CCR,3,11,,28124.2492900029,Terrace,5500000,LANDED HOUSING DEVELOPMENT,33584.1595429209,-,153.6,BARKER ROAD,0921,Land
2,Freehold,CCR,3,11,,28124.2492900029,Detached,32200000,LANDED HOUSING DEVELOPMENT,33584.1595429209,-,1312.1,BARKER ROAD,0523,Land
1,Freehold,CCR,3,11,,28124.2492900029,Semi-detached,14160000,LANDED HOUSING DEVELOPMENT,33584.1595429209,-,473.2,BARKER ROAD,0624,Land
1,Freehold,CCR,3,11,,28124.2492900029,Detached,13680000,LANDED HOUSING DEVELOPMENT,33584.1595429209,-,607.2,BARKER ROAD,0425,Land
1,Freehold,CCR,3,11,,28124.2492900029,Semi-detached,9200000,LANDED HOUSING DEVELOPMENT,33584.1595429209,-,473.2,BARKER ROAD,0821,Land
1,Freehold,CCR,3,11,,28124.2492900029,Terrace,5380000,LANDED HOUSING DEVELOPMENT,33584.1595429209,-,242.3,BARKER ROAD,0421,Land
1,Freehold,CCR,3,11,,28124.2492900029,Detached,10800000,LANDED HOUSING DEVELOPMENT,33584.1595429209,-,607.2,BARKER ROAD,0321,Land
1,Freehold,CCR,3,11,,28124.2492900029,Terrace,5500000,LANDED HOUSING DEVELOPMENT,33584.1595429209,-,153.6,BARKER ROAD,0921,Land
2,Freehold,CCR,3,11,,28124.2492900029,Detached,32200000,LANDED HOUSING DEVELOPMENT,33584.1595429209,-,1312.1,BARKER ROAD,0523,Land
1,Freehold,CCR,3,11,,28124.2492900029,Semi-detached,14160000,LANDED HOUSING DEVELOPMENT,33584.1595429209,-,473.2,BARKER ROAD,0624,Land
1,Freehold,CCR,3,11,,28124.2492900029,Detached,13680000,LANDED HOUSING DEVELOPMENT,33584.1595429209,-,607.2,BARKER ROAD,0425,Land
1,Freehold,CCR,3,09,,28378.8235,Condominium,6900000,SCOTTS HIGHPARK,32740.19142,06-10,322,SCOTTS ROAD,0621,Strata
1,Freehold,CCR,3,09,,28378.8235,Condominium,8200000,SCOTTS HIGHPARK,32740.19142,06-10,322,SCOTTS ROAD,1121,Strata
1,Freehold,CCR,3,09,,28378.8235,Condominium,3600000,SCOTTS HIGHPARK,32740.19142,01-05,162,SCOTTS ROAD,1221,Strata
1,Freehold,CCR,3,09,,28378.8235,Condominium,2250000,SCOTTS HIGHPARK,32740.19142,16-20,106,SCOTTS ROAD,0222,Strata
1,Freehold,CCR,3,09,,28378.8235,Condominium,3080000,SCOTTS HIGHPARK,32740.19142,16-20,165,SCOTTS ROAD,0922,Strata
1,Freehold,CCR,3,09,,28378.8235,Condominium,12680000,SCOTTS HIGHPARK,32740.19142,21-25,382,SCOTTS ROAD,0523,Strata
1,Freehold,CCR,3,09,,28378.8235,Condominium,2350000,SCOTTS HIGHPARK,32740.19142,11-15,106,SCOTTS ROAD,0623,Strata
1,Freehold,CCR,3,09,,28378.8235,Condominium,4380000,SCOTTS HIGHPARK,32740.19142,11-15,162,SCOTTS ROAD,0723,Strata
1,Freehold,CCR,3,09,,28378.8235,Condominium,3850000,SCOTTS HIGHPARK,32740.19142,01-05,162,SCOTTS ROAD,0923,Strata
1,Freehold,CCR,3,09,,28378.8235,Condominium,7800000,SCOTTS HIGHPARK,32740.19142,21-25,322,SCOTTS ROAD,0924,Strata
1,Freehold,CCR,3,09,,28378.8235,Condominium,4300000,SCOTTS HIGHPARK,32740.19142,11-15,162,SCOTTS ROAD,0625,Strata
1,Freehold,CCR,3,09,,28378.8235,Condominium,4200000,SCOTTS HIGHPARK,32740.19142,11-15,162,SCOTTS ROAD,0625,Strata
1,Freehold,CCR,3,09,,28378.8235,Condominium,7400000,SCOTTS HIGHPARK,32740.19142,16-20,322,SCOTTS ROAD,0825,Strata
1,Freehold,CCR,3,11,,29029.86615,Apartment,2600000,THE LINC,33008.64752,16-20,120,LINCOLN ROAD,1121,Strata
1,Freehold,CCR,3,11,,29029.86615,Apartment,2600000,THE LINC,33008.64752,06-10,119,LINCOLN ROAD,0522,Strata
1,Freehold,CCR,3,11,,29029.86615,Apartment,2000000,THE LINC,33008.64752,01-05,106,LINCOLN ROAD,0823,Strata
1,Freehold,CCR,3,11,,28901.42306,Condominium,2680000,CUBE 8,34509.21707,26-30,124,THOMSON ROAD,0225,Strata
1,Freehold,CCR,3,11,,28901.42306,Condominium,1450000,CUBE 8,34509.21707,11-15,86,THOMSON ROAD,1220,Strata
1,Freehold,CCR,3,11,,28901.42306,Condominium,2900000,CUBE 8,34509.21707,26-30,177,THOMSON ROAD,1220,Strata
1,Freehold,CCR,3,11,,28901.42306,Condominium,1910000,CUBE 8,34509.21707,16-20,124,THOMSON ROAD,1220,Strata
1,Freehold,CCR,3,11,,28901.42306,Condominium,1390000,CUBE 8,34509.21707,11-15,86,THOMSON ROAD,0221,Strata
1,Freehold,CCR,3,11,,28901.42306,Condominium,1400000,CUBE 8,34509.21707,11-15,86,THOMSON ROAD,1120,Strata
1,Freehold,CCR,3,11,,28901.42306,Condominium,3200000,CUBE 8,34509.21707,31-35,177,THOMSON ROAD,0321,Strata
1,Freehold,CCR,3,11,,28901.42306,Condominium,892000,CUBE 8,34509.21707,11-15,52,THOMSON ROAD,0521,Strata
1,Freehold,CCR,3,11,,28901.42306,Condominium,885000,CUBE 8,34509.21707,06-10,52,THOMSON ROAD,1021,Strata
1,Freehold,CCR,3,11,,28901.42306,Condominium,900000,CUBE 8,34509.21707,06-10,52,THOMSON ROAD,0821,Strata
1,Freehold,CCR,3,11,,28901.42306,Condominium,1478000,CUBE 8,34509.21707,11-15,83,THOMSON ROAD,0721,Strata
1,Freehold,CCR,3,11,,28901.42306,Condominium,2150000,CUBE 8,34509.21707,26-30,124,THOMSON ROAD,0921,Strata
1,Freehold,CCR,3,11,,28901.42306,Condominium,900000,CUBE 8,34509.21707,11-15,52,THOMSON ROAD,0721,Strata
1,Freehold,CCR,3,11,,28901.42306,Condominium,1508000,CUBE 8,34509.21707,21-25,86,THOMSON ROAD,0821,Strata
1,Freehold,CCR,3,11,,28901.42306,Condominium,1850000,CUBE 8,34509.21707,06-10,124,THOMSON ROAD,0321,Strata
1,Freehold,CCR,3,11,,28901.42306,Condominium,1500000,CUBE 8,34509.21707,06-10,83,THOMSON ROAD,0522,Strata
1,Freehold,CCR,3,11,,28901.42306,Condominium,1538000,CUBE 8,34509.21707,21-25,84,THOMSON ROAD,0522,Strata
1,Freehold,CCR,3,11,,28901.42306,Condominium,2450000,CUBE 8,34509.21707,21-25,137,THOMSON ROAD,0422,Strata
1,Freehold,CCR,3,11,,28901.42306,Condominium,1430888,CUBE 8,34509.21707,11-15,83,THOMSON ROAD,0222,Strata
1,Freehold,CCR,3,11,,28901.42306,Condominium,983888,CUBE 8,34509.21707,16-20,52,THOMSON ROAD,0222,Strata
1,Freehold,CCR,3,11,,28901.42306,Condominium,2250000,CUBE 8,34509.21707,11-15,124,THOMSON ROAD,0922,Strata
1,Freehold,CCR,3,11,,28901.42306,Condominium,2580000,CUBE 8,34509.21707,26-30,137,THOMSON ROAD,0822,Strata
1,Freehold,CCR,3,11,,28901.42306,Condominium,955000,CUBE 8,34509.21707,11-15,52,THOMSON ROAD,0523,Strata
1,Freehold,CCR,3,11,,28901.42306,Condominium,1668000,CUBE 8,34509.21707,21-25,86,THOMSON ROAD,1023,Strata
1,Freehold,CCR,3,11,,28901.42306,Condominium,1720000,CUBE 8,34509.21707,16-20,86,THOMSON ROAD,1223,Strata
1,Freehold,CCR,3,11,,28901.42306,Condominium,1600000,CUBE 8,34509.21707,11-15,83,THOMSON ROAD,0424,Strata
1,Freehold,CCR,3,11,,28901.42306,Condominium,2800000,CUBE 8,34509.21707,26-30,132,THOMSON ROAD,0823,Strata
1,Freehold,CCR,3,11,,28901.42306,Condominium,1635000,CUBE 8,34509.21707,06-10,84,THOMSON ROAD,0924,Strata
1,Freehold,CCR,3,11,,28901.42306,Condominium,1650888,CUBE 8,34509.21707,06-10,83,THOMSON ROAD,0924,Strata
1,Freehold,CCR,3,11,,28901.42306,Condominium,2700000,CUBE 8,34509.21707,26-30,124,THOMSON ROAD,1024,Strata
1,Freehold,CCR,3,11,,28901.42306,Condominium,1038000,CUBE 8,34509.21707,21-25,52,THOMSON ROAD,0124,Strata
1,Freehold,CCR,3,11,,28901.42306,Condominium,5220000,CUBE 8,34509.21707,31-35,292,THOMSON ROAD,0224,Strata
1,Freehold,CCR,3,11,,28901.42306,Condominium,1540000,CUBE 8,34509.21707,06-10,86,THOMSON ROAD,0823,Strata
1,Freehold,CCR,3,11,,28901.42306,Condominium,2700000,CUBE 8,34509.21707,16-20,124,THOMSON ROAD,0725,Strata
1,Freehold,CCR,3,11,,28901.42306,Condominium,1780000,CUBE 8,34509.21707,21-25,86,THOMSON ROAD,1124,Strata
1,Freehold,CCR,3,11,,28901.42306,Condominium,2880000,CUBE 8,34509.21707,21-25,137,THOMSON ROAD,0425,Strata
1,Freehold,CCR,3,11,,28901.42306,Condominium,1800000,CUBE 8,34509.21707,16-20,86,THOMSON ROAD,0625,Strata
1,Freehold,CCR,3,10,,27203.94795,Apartment,2480000,THE ELEMENT @ STEVENS,33375.0365,01-05,129,STEVENS ROAD,1121,Strata
1,Freehold,CCR,3,10,,27203.94795,Apartment,2580000,THE ELEMENT @ STEVENS,33375.0365,01-05,123,STEVENS ROAD,0823,Strata
1,Freehold,CCR,3,10,,27203.94795,Apartment,1780000,THE ELEMENT @ STEVENS,33375.0365,01-05,89,STEVENS ROAD,1123,Strata
1,Freehold,CCR,3,10,,27203.94795,Apartment,2640000,THE ELEMENT @ STEVENS,33375.0365,01-05,123,STEVENS ROAD,0125,Strata
1,Freehold,CCR,3,10,,24473.7907662921,Semi-detached,7173000,LANDED HOUSING DEVELOPMENT,33894.4178146669,-,371.1,CORONATION ROAD,0221,Land
1,999 yrs lease commencing from 1875,CCR,3,10,,24473.7907662921,Semi-detached,8200000,LANDED HOUSING DEVELOPMENT,33894.4178146669,-,469.6,CORONATION ROAD,0421,Land
1,999 yrs lease commencing from 1875,CCR,3,10,,24473.7907662921,Detached,13600000,LANDED HOUSING DEVELOPMENT,33894.4178146669,-,895.3,CORONATION ROAD,0421,Land
1,Freehold,CCR,3,10,,24473.7907662921,Detached,21500000,LANDED HOUSING DEVELOPMENT,33894.4178146669,-,827.1,CORONATION ROAD,0722,Land
1,Freehold,CCR,3,10,,24473.7907662921,Semi-detached,8238000,LANDED HOUSING DEVELOPMENT,33894.4178146669,-,359.9,CORONATION ROAD,0822,Land
1,999 yrs lease commencing from 1875,CCR,3,10,,24473.7907662921,Detached,17080000,LANDED HOUSING DEVELOPMENT,33894.4178146669,-,469.6,CORONATION ROAD,0223,Land
1,Freehold,CCR,3,10,,24473.7907662921,Semi-detached,11500000,LANDED HOUSING DEVELOPMENT,33894.4178146669,-,558.9,CORONATION ROAD,0124,Land
1,Freehold,CCR,3,10,,24473.7907662921,Semi-detached,7173000,LANDED HOUSING DEVELOPMENT,33894.4178146669,-,371.1,CORONATION ROAD,0221,Land
1,999 yrs lease commencing from 1875,CCR,3,10,,24473.7907662921,Semi-detached,8200000,LANDED HOUSING DEVELOPMENT,33894.4178146669,-,469.6,CORONATION ROAD,0421,Land
1,999 yrs lease commencing from 1875,CCR,3,10,,24473.7907662921,Detached,13600000,LANDED HOUSING DEVELOPMENT,33894.4178146669,-,895.3,CORONATION ROAD,0421,Land
1,Freehold,CCR,3,10,,24473.7907662921,Detached,21500000,LANDED HOUSING DEVELOPMENT,33894.4178146669,-,827.1,CORONATION ROAD,0722,Land
1,Freehold,CCR,3,10,,24473.7907662921,Semi-detached,8238000,LANDED HOUSING DEVELOPMENT,33894.4178146669,-,359.9,CORONATION ROAD,0822,Land
1,999 yrs lease commencing from 1875,CCR,3,10,,24473.7907662921,Detached,17080000,LANDED HOUSING DEVELOPMENT,33894.4178146669,-,469.6,CORONATION ROAD,0223,Land
1,Freehold,CCR,3,10,,24473.7907662921,Semi-detached,11500000,LANDED HOUSING DEVELOPMENT,33894.4178146669,-,558.9,CORONATION ROAD,0124,Land
1,Freehold,CCR,3,10,,26879.1469,Condominium,1750000,JERVOIS LODGE,30730.81778,01-05,129,JERVOIS ROAD,0920,Strata
1,Freehold,CCR,3,10,,26879.1469,Condominium,2280000,JERVOIS LODGE,30730.81778,01-05,115,JERVOIS ROAD,0821,Strata
1,Freehold,CCR,3,10,,26879.1469,Condominium,2200000,JERVOIS LODGE,30730.81778,01-05,103,JERVOIS ROAD,0721,Strata
1,Freehold,CCR,3,10,,26879.1469,Condominium,2530000,JERVOIS LODGE,30730.81778,01-05,152,JERVOIS ROAD,0222,Strata
1,Freehold,CCR,3,10,,26879.1469,Condominium,2410000,JERVOIS LODGE,30730.81778,01-05,127,JERVOIS ROAD,1022,Strata
1,Freehold,CCR,3,10,,26879.1469,Condominium,2400000,JERVOIS LODGE,30730.81778,01-05,141,JERVOIS ROAD,0722,Strata
1,Freehold,CCR,3,10,,26879.1469,Condominium,2330000,JERVOIS LODGE,30730.81778,01-05,115,JERVOIS ROAD,0223,Strata
1,Freehold,CCR,3,10,,26879.1469,Condominium,2680000,JERVOIS LODGE,30730.81778,01-05,155,JERVOIS ROAD,1024,Strata
