noOfBedRoom,rent,propertyType,areaSqft,y,x,areaSqm,leaseDate,street,project,district
3,4000,Non-landed Properties,1500-1600,36466.13801,21348.66212,140-150,1224,HINDHEDE WALK,SOUTHAVEN II,21
2,3200,Non-landed Properties,900-1000,36466.13801,21348.66212,80-90,1124,HINDHEDE WALK,SOUTHAVEN II,21
3,4400,Non-landed Properties,1300-1400,36466.13801,21348.66212,120-130,1224,HINDHEDE WALK,SOUTHAVEN II,21
2,3900,Non-landed Properties,1100-1200,36466.13801,21348.66212,100-110,1124,HINDHEDE WALK,SOUTHAVEN II,21
3,5000,Non-landed Properties,1500-1600,36466.13801,21348.66212,140-150,1224,HINDHEDE WALK,SOUTHAVEN II,21
3,6200,Non-landed Properties,2900-3000,36466.13801,21348.66212,270-280,1224,HINDHEDE WALK,SOUTHAVEN II,21
2,3600,Non-landed Properties,1000-1100,36466.13801,21348.66212,90-100,1224,HINDHEDE WALK,SOUTHAVEN II,21
2,3650,Non-landed Properties,1000-1100,36466.13801,21348.66212,90-100,1124,HINDHEDE WALK,SOUTHAVEN II,21
3,4600,Non-landed Properties,1400-1500,36466.13801,21348.66212,130-140,1124,HINDHEDE WALK,SOUTHAVEN II,21
3,4300,Non-landed Properties,1400-1500,36466.13801,21348.66212,130-140,1024,HINDHEDE WALK,SOUTHAVEN II,21
NA,5500,Terrace House,1500-2000,35020.95198121,40574.0317834906,150-200,1224,JALAN SIMPANG BEDOK,CANARY PARK,16
NA,3700,Non-landed Properties,900-1000,29484.50776,27686.50064,80-90,1224,YONG SIAK STREET,TIONG BAHRU ESTATE,03
NA,4500,Non-landed Properties,700-800,29484.50776,27686.50064,70-80,1024,YONG SIAK STREET,TIONG BAHRU ESTATE,03
NA,9000,Non-landed Properties,1800-1900,29484.50776,27686.50064,170-180,1224,YONG SIAK STREET,TIONG BAHRU ESTATE,03
4,11000,Non-landed Properties,2700-2800,32369.78177,27314.26055,250-260,1024,ORANGE GROVE ROAD,NON-LANDED HOUSING DEVELOPMENT,10
4,24000,Non-landed Properties,>3000,32369.78177,27314.26055,>300,1024,ORANGE GROVE ROAD,NON-LANDED HOUSING DEVELOPMENT,10
4,10500,Non-landed Properties,2700-2800,32369.78177,27314.26055,250-260,1124,ORANGE GROVE ROAD,NON-LANDED HOUSING DEVELOPMENT,10
4,4000,Executive Condominium,1200-1300,39800.46204,35835.42743,110-120,1024,UPPER SERANGOON VIEW,HERON BAY,19
3,4500,Executive Condominium,1000-1100,39800.46204,35835.42743,90-100,1024,UPPER SERANGOON VIEW,HERON BAY,19
4,4300,Executive Condominium,1200-1300,39800.46204,35835.42743,110-120,1124,UPPER SERANGOON VIEW,HERON BAY,19
2,3800,Executive Condominium,700-800,39800.46204,35835.42743,70-80,1224,UPPER SERANGOON VIEW,HERON BAY,19
NA,3200,Non-landed Properties,900-1000,32749.54786,33964.31783,80-90,1224,LORONG 32 GEYLANG,NON-LANDED HOUSING DEVELOPMENT,14
NA,3300,Non-landed Properties,900-1000,32749.54786,33964.31783,80-90,1224,LORONG 32 GEYLANG,NON-LANDED HOUSING DEVELOPMENT,14
NA,9950,Semi-Detached House,4000-4500,36878.55884,29069.39181,400-450,1224,CLOVER AVENUE,LANDED HOUSING DEVELOPMENT,20
NA,5900,Semi-Detached House,2000-2500,35700.79815,20551.94648,200-250,1024,TOH TUCK CRESCENT,TECK HIANG GARDENS,21
NA,6800,Semi-Detached House,2000-2500,35700.79815,20551.94648,200-250,1124,TOH TUCK CRESCENT,TECK HIANG GARDENS,21
NA,38000,Detached House,5500-6000,25714.6242,29126.93719,500-550,1124,TREASURE ISLAND,LANDED HOUSING DEVELOPMENT,04
NA,4500,Non-landed Properties,1100-1200,32917.99756,37045.82098,100-110,1224,LORONG K TELOK KURAU,CASTLE LOFT,15
NA,4000,Non-landed Properties,1100-1200,32917.99756,37045.82098,100-110,1024,LORONG K TELOK KURAU,CASTLE LOFT,15
NA,4000,Non-landed Properties,1100-1200,32917.99756,37045.82098,100-110,1024,LORONG K TELOK KURAU,CASTLE LOFT,15
NA,5000,Non-landed Properties,900-1000,42204.76363,26365.16985,80-90,1224,UPPER THOMSON ROAD,NON-LANDED HOUSING DEVELOPMENT,26
2,4000,Non-landed Properties,1000-1100,33056.23914,30112.27172,90-100,1224,OXFORD ROAD,KENTISH COURT,08
2,4000,Non-landed Properties,1000-1100,33056.23914,30112.27172,90-100,1224,OXFORD ROAD,KENTISH COURT,08
2,3900,Non-landed Properties,1000-1100,33056.23914,30112.27172,90-100,1024,OXFORD ROAD,KENTISH COURT,08
2,4200,Non-landed Properties,1100-1200,33056.23914,30112.27172,100-110,1024,OXFORD ROAD,KENTISH COURT,08
3,5500,Non-landed Properties,1200-1300,33076.27565,28098.94825,110-120,1224,BALMORAL CRESCENT,THE BALMORAL SPRING,10
3,5400,Non-landed Properties,1100-1200,33076.27565,28098.94825,100-110,1024,BALMORAL CRESCENT,THE BALMORAL SPRING,10
3,4700,Non-landed Properties,1100-1200,32766.68373,37016.19285,100-110,1224,LORONG L TELOK KURAU,BLU CORAL,15
3,4400,Non-landed Properties,1100-1200,32766.68373,37016.19285,100-110,1024,LORONG L TELOK KURAU,BLU CORAL,15
1,2800,Non-landed Properties,500-600,32766.68373,37016.19285,40-50,1124,LORONG L TELOK KURAU,BLU CORAL,15
2,5200,Non-landed Properties,900-1000,29634.04789,27525.513,90-100,1224,KIM TIAN ROAD,REGENCY SUITES,03
3,8200,Non-landed Properties,1400-1500,29634.04789,27525.513,130-140,1224,KIM TIAN ROAD,REGENCY SUITES,03
2,5200,Non-landed Properties,900-1000,29634.04789,27525.513,90-100,1224,KIM TIAN ROAD,REGENCY SUITES,03
3,7200,Non-landed Properties,1400-1500,29634.04789,27525.513,130-140,1224,KIM TIAN ROAD,REGENCY SUITES,03
2,12000,Non-landed Properties,>3000,29634.04789,27525.513,>300,1024,KIM TIAN ROAD,REGENCY SUITES,03
2,5500,Non-landed Properties,900-1000,29634.04789,27525.513,90-100,1024,KIM TIAN ROAD,REGENCY SUITES,03
2,5900,Non-landed Properties,900-1000,29634.04789,27525.513,90-100,1024,KIM TIAN ROAD,REGENCY SUITES,03
2,4600,Non-landed Properties,1000-1100,30528.61965,27095.60009,90-100,1024,JERVOIS CLOSE,JERVOIS JADE,10
NA,6800,Terrace House,1500-2000,37583.5435533964,31305.8714683825,150-200,1124,JALAN PACHELI,SERANGOON GARDEN PARK,19
3,3000,Non-landed Properties,1400-1500,41123.23322,30821.5189,130-140,1224,TAMARIND ROAD,SERENITY PARK,28
3,3600,Non-landed Properties,1300-1400,41123.23322,30821.5189,120-130,1024,TAMARIND ROAD,SERENITY PARK,28
3,4000,Non-landed Properties,1300-1400,41123.23322,30821.5189,120-130,1124,TAMARIND ROAD,SERENITY PARK,28
3,3250,Non-landed Properties,1300-1400,41123.23322,30821.5189,120-130,1124,TAMARIND ROAD,SERENITY PARK,28
3,3800,Non-landed Properties,1300-1400,41123.23322,30821.5189,120-130,1024,TAMARIND ROAD,SERENITY PARK,28
2,3350,Non-landed Properties,1000-1100,41123.23322,30821.5189,100-110,1124,TAMARIND ROAD,SERENITY PARK,28
3,4300,Non-landed Properties,1400-1500,41123.23322,30821.5189,130-140,1124,TAMARIND ROAD,SERENITY PARK,28
3,6400,Non-landed Properties,1300-1400,32918.9747,28965.46542,120-130,1224,KENG LEE ROAD,ROCHELLE AT NEWTON,11
4,8800,Non-landed Properties,1900-2000,32918.9747,28965.46542,170-180,1224,KENG LEE ROAD,ROCHELLE AT NEWTON,11
3,3050,Non-landed Properties,1200-1300,41026.21534,18136.42149,110-120,1224,CHOA CHU KANG LOOP,NORTHVALE,23
2,3600,Non-landed Properties,1000-1100,41026.21534,18136.42149,100-110,1024,CHOA CHU KANG LOOP,NORTHVALE,23
1,2250,Non-landed Properties,700-800,41026.21534,18136.42149,60-70,1224,CHOA CHU KANG LOOP,NORTHVALE,23
2,3800,Non-landed Properties,1000-1100,41026.21534,18136.42149,100-110,1224,CHOA CHU KANG LOOP,NORTHVALE,23
1,2350,Non-landed Properties,700-800,41026.21534,18136.42149,60-70,1224,CHOA CHU KANG LOOP,NORTHVALE,23
2,5000,Non-landed Properties,1000-1100,41026.21534,18136.42149,100-110,1024,CHOA CHU KANG LOOP,NORTHVALE,23
3,4100,Non-landed Properties,1300-1400,41026.21534,18136.42149,120-130,1224,CHOA CHU KANG LOOP,NORTHVALE,23
2,3300,Non-landed Properties,1000-1100,41026.21534,18136.42149,100-110,1024,CHOA CHU KANG LOOP,NORTHVALE,23
2,3450,Non-landed Properties,1000-1100,41026.21534,18136.42149,90-100,1024,CHOA CHU KANG LOOP,NORTHVALE,23
1,2750,Non-landed Properties,600-700,41026.21534,18136.42149,60-70,1224,CHOA CHU KANG LOOP,NORTHVALE,23
