noOfBedRoom,rent,propertyType,areaSqft,y,x,areaSqm,leaseDate,street,project,district
NA,5500,Terrace House,1500-2000,41284.2567246493,28350.697200476,150-200,1023,LENTOR TERRACE,FUDU PARK,26
NA,7800,Semi-Detached House,2500-3000,41284.2567246493,28350.697200476,200-250,1123,LENTOR TERRACE,FUDU PARK,26
NA,4000,Terrace House,1500-2000,30543.77977,20819.04928,150-200,1223,NEO PEE TECK LANE,LANDED HOUSING DEVELOPMENT,05
NA,14859,Non-landed Properties,1700-1800,32559.33503,27107.4972,150-160,1023,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
4,12768,Non-landed Properties,2000-2100,32559.33503,27107.4972,190-200,1223,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
NA,12033,Non-landed Properties,1700-1800,32559.33503,27107.4972,160-170,1223,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
NA,10230,Non-landed Properties,1600-1700,32559.33503,27107.4972,150-160,1223,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
NA,11619,Non-landed Properties,1600-1700,32559.33503,27107.4972,150-160,1123,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
NA,8841,Non-landed Properties,1300-1400,32559.33503,27107.4972,120-130,1123,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
NA,17915,Non-landed Properties,1700-1800,32559.33503,27107.4972,160-170,1123,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
NA,9581,Non-landed Properties,1600-1700,32559.33503,27107.4972,150-160,1123,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
NA,11619,Non-landed Properties,1700-1800,32559.33503,27107.4972,150-160,1223,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
4,12189,Non-landed Properties,2200-2300,32559.33503,27107.4972,200-210,1223,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
2,3000,Non-landed Properties,700-800,32580.40016,36308.351,60-70,1223,LORONG L TELOK KURAU,SUNSHINE LOFT,15
NA,7000,Terrace House,3000-3500,39770.20595,28022.17475,250-300,1023,ANG MO KIO AVENUE 2,HORIZON GREEN,20
NA,6000,Terrace House,3000-3500,39770.20595,28022.17475,300-350,1023,ANG MO KIO AVENUE 2,HORIZON GREEN,20
2,3600,Non-landed Properties,900-1000,30989.74224,32570.66612,80-90,1023,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
1,3400,Non-landed Properties,600-700,30989.74224,32570.66612,50-60,1023,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,5850,Non-landed Properties,1300-1400,30989.74224,32570.66612,120-130,1023,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
1,2950,Non-landed Properties,600-700,30989.74224,32570.66612,50-60,1023,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
2,4000,Non-landed Properties,900-1000,30989.74224,32570.66612,80-90,1023,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
1,2800,Non-landed Properties,600-700,30989.74224,32570.66612,50-60,1123,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
1,3200,Non-landed Properties,600-700,30989.74224,32570.66612,50-60,1123,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,4800,Non-landed Properties,1200-1300,30989.74224,32570.66612,110-120,1223,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
1,3250,Non-landed Properties,600-700,30989.74224,32570.66612,50-60,1223,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,5000,Non-landed Properties,1200-1300,30989.74224,32570.66612,110-120,1223,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
2,4000,Non-landed Properties,900-1000,30989.74224,32570.66612,80-90,1123,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,4800,Non-landed Properties,1200-1300,32655.63524,39140.90324,110-120,1023,MARINE PARADE ROAD,TAIPAN GRAND,15
3,4200,Non-landed Properties,1200-1300,32655.63524,39140.90324,110-120,1223,MARINE PARADE ROAD,TAIPAN GRAND,15
3,4300,Non-landed Properties,1300-1400,45645.84985,22778.20347,120-130,1223,ROSEWOOD DRIVE,ROSEWOOD SUITES,25
NA,4500,Non-landed Properties,1300-1400,32963.52943,38654.31214,120-130,1023,WOO MON CHEW ROAD,NON-LANDED HOUSING DEVELOPMENT,15
1,6800,Non-landed Properties,600-700,28835.93389,29379.37798,50-60,1023,WALLICH STREET,WALLICH RESIDENCE,02
1,6800,Non-landed Properties,600-700,28835.93389,29379.37798,50-60,1023,WALLICH STREET,WALLICH RESIDENCE,02
1,6800,Non-landed Properties,600-700,28835.93389,29379.37798,50-60,1023,WALLICH STREET,WALLICH RESIDENCE,02
2,11000,Non-landed Properties,1000-1100,28835.93389,29379.37798,100-110,1223,WALLICH STREET,WALLICH RESIDENCE,02
2,8520,Non-landed Properties,800-900,28835.93389,29379.37798,70-80,1023,WALLICH STREET,WALLICH RESIDENCE,02
3,15500,Non-landed Properties,1300-1400,28835.93389,29379.37798,120-130,1023,WALLICH STREET,WALLICH RESIDENCE,02
1,6500,Non-landed Properties,600-700,28835.93389,29379.37798,50-60,1023,WALLICH STREET,WALLICH RESIDENCE,02
2,11000,Non-landed Properties,1000-1100,28835.93389,29379.37798,100-110,1023,WALLICH STREET,WALLICH RESIDENCE,02
2,10400,Non-landed Properties,900-1000,28835.93389,29379.37798,80-90,1223,WALLICH STREET,WALLICH RESIDENCE,02
3,11000,Non-landed Properties,1000-1100,28835.93389,29379.37798,100-110,1223,WALLICH STREET,WALLICH RESIDENCE,02
1,7200,Non-landed Properties,600-700,28835.93389,29379.37798,50-60,1123,WALLICH STREET,WALLICH RESIDENCE,02
2,11000,Non-landed Properties,900-1000,28835.93389,29379.37798,80-90,1123,WALLICH STREET,WALLICH RESIDENCE,02
2,9000,Non-landed Properties,800-900,28835.93389,29379.37798,70-80,1123,WALLICH STREET,WALLICH RESIDENCE,02
3,13000,Non-landed Properties,1100-1200,28835.93389,29379.37798,110-120,1223,WALLICH STREET,WALLICH RESIDENCE,02
1,7500,Non-landed Properties,600-700,28835.93389,29379.37798,50-60,1223,WALLICH STREET,WALLICH RESIDENCE,02
1,7300,Non-landed Properties,600-700,28835.93389,29379.37798,50-60,1123,WALLICH STREET,WALLICH RESIDENCE,02
NA,5000,Non-landed Properties,2200-2300,33109.06031,30676.19159,200-210,1123,RACE COURSE ROAD,RACE COURSE BUILDING,08
4,5200,Non-landed Properties,1500-1600,34398.78892,31474.68208,130-140,1023,ST. MICHAEL'S ROAD,RIVERSIDE MELODIES,12
4,5000,Non-landed Properties,1500-1600,34398.78892,31474.68208,130-140,1023,ST. MICHAEL'S ROAD,RIVERSIDE MELODIES,12
1,2600,Non-landed Properties,400-500,30209.65711,21561.65314,40-50,1223,PASIR PANJANG ROAD,JUBILEE RESIDENCE,05
1,3200,Non-landed Properties,400-500,30209.65711,21561.65314,40-50,1223,PASIR PANJANG ROAD,JUBILEE RESIDENCE,05
NA,80000,Detached House,>8000,32395.93515,26861.58314,>800,1023,NASSIM ROAD,LANDED HOUSING DEVELOPMENT,10
NA,50000,Detached House,6000-6500,32395.93515,26861.58314,550-600,1223,NASSIM ROAD,LANDED HOUSING DEVELOPMENT,10
NA,12500,Terrace House,1500-2000,,,150-200,1023,CHEOW KENG ROAD,CHEOW KENG GARDEN,15
NA,4000,Terrace House,1000-1500,,,<=100,1023,JALAN CHERMAI,SELETAR HILLS ESTATE,28
3,5900,Non-landed Properties,1100-1200,33337.25117,27530.10736,100-110,1023,EWE BOON ROAD,CLIFTEN,10
3,5400,Non-landed Properties,1100-1200,33337.25117,27530.10736,100-110,1023,EWE BOON ROAD,CLIFTEN,10
3,4600,Non-landed Properties,1000-1100,33337.25117,27530.10736,90-100,1223,EWE BOON ROAD,CLIFTEN,10
3,4700,Non-landed Properties,800-900,33501.83548,33355.79502,70-80,1023,SIMS DRIVE,SIMS URBAN OASIS,14
1,3200,Non-landed Properties,400-500,33501.83548,33355.79502,40-50,1023,SIMS DRIVE,SIMS URBAN OASIS,14
1,3500,Non-landed Properties,400-500,33501.83548,33355.79502,40-50,1023,SIMS DRIVE,SIMS URBAN OASIS,14
2,4000,Non-landed Properties,600-700,33501.83548,33355.79502,50-60,1023,SIMS DRIVE,SIMS URBAN OASIS,14
1,3300,Non-landed Properties,400-500,33501.83548,33355.79502,40-50,1023,SIMS DRIVE,SIMS URBAN OASIS,14
2,2950,Non-landed Properties,600-700,33501.83548,33355.79502,50-60,1023,SIMS DRIVE,SIMS URBAN OASIS,14
1,3000,Non-landed Properties,400-500,33501.83548,33355.79502,40-50,1023,SIMS DRIVE,SIMS URBAN OASIS,14
2,3700,Non-landed Properties,600-700,33501.83548,33355.79502,60-70,1023,SIMS DRIVE,SIMS URBAN OASIS,14
2,4000,Non-landed Properties,600-700,33501.83548,33355.79502,50-60,1023,SIMS DRIVE,SIMS URBAN OASIS,14
1,3250,Non-landed Properties,400-500,33501.83548,33355.79502,40-50,1223,SIMS DRIVE,SIMS URBAN OASIS,14
2,3900,Non-landed Properties,600-700,33501.83548,33355.79502,50-60,1023,SIMS DRIVE,SIMS URBAN OASIS,14
2,4200,Non-landed Properties,600-700,33501.83548,33355.79502,60-70,1023,SIMS DRIVE,SIMS URBAN OASIS,14
2,3900,Non-landed Properties,600-700,33501.83548,33355.79502,50-60,1023,SIMS DRIVE,SIMS URBAN OASIS,14
2,4000,Non-landed Properties,600-700,33501.83548,33355.79502,50-60,1023,SIMS DRIVE,SIMS URBAN OASIS,14
2,4200,Non-landed Properties,600-700,33501.83548,33355.79502,60-70,1023,SIMS DRIVE,SIMS URBAN OASIS,14
