noOfUnits,tenure,marketSegment,typeOfSale,district,nettPrice,x,propertyType,price,project,y,floorRange,area,street,contractDate,typeOfArea
1,99 yrs lease commencing from 2024,CCR,1,07,,,Apartment,1959796,AUREA,,16-20,66,BEACH ROAD,0325,Strata
1,99 yrs lease commencing from 2024,CCR,1,07,,,Apartment,1943780,AUREA,,06-10,66,BEACH ROAD,0325,Strata
1,99 yrs lease commencing from 2024,CCR,1,07,,,Apartment,1999880,AUREA,,11-15,66,BEACH ROAD,0325,Strata
1,99 yrs lease commencing from 2024,CCR,1,07,,,Apartment,1975740,AUREA,,11-15,66,BEACH ROAD,0325,Strata
1,99 yrs lease commencing from 2024,CCR,1,07,,,Apartment,1949475,AUREA,,06-10,66,BEACH ROAD,0325,Strata
1,99 yrs lease commencing from 2024,CCR,1,07,,,Apartment,1927885,AUREA,,06-10,60,BEACH ROAD,0325,Strata
1,99 yrs lease commencing from 2024,CCR,1,07,,,Apartment,1911735,AUREA,,06-10,60,BEACH ROAD,0325,Strata
1,99 yrs lease commencing from 2024,CCR,1,07,,,Apartment,2886574,AUREA,,16-20,93,BEACH ROAD,0325,Strata
1,99 yrs lease commencing from 2024,CCR,1,07,,,Apartment,3016225,AUREA,,16-20,93,BEACH ROAD,0325,Strata
1,99 yrs lease commencing from 2024,CCR,1,07,,,Apartment,3111340,AUREA,,21-25,93,BEACH ROAD,0325,Strata
1,99 yrs lease commencing from 2024,CCR,1,07,,,Apartment,2861015,AUREA,,06-10,93,BEACH ROAD,0325,Strata
1,99 yrs lease commencing from 2024,CCR,1,07,,,Apartment,12000000,AUREA,,36-40,302,BEACH ROAD,0625,Strata
1,99 yrs lease commencing from 2024,CCR,1,07,,,Apartment,1870000,AUREA,,16-20,60,BEACH ROAD,0825,Strata
1,99 yrs lease commencing from 2024,CCR,1,07,,,Apartment,1795000,AUREA,,01-05,60,BEACH ROAD,0825,Strata
1,99 yrs lease commencing from 2024,CCR,1,07,,,Apartment,1771000,AUREA,,01-05,59,BEACH ROAD,0825,Strata
1,99 yrs lease commencing from 2024,CCR,1,07,,,Apartment,2728000,AUREA,,11-15,93,BEACH ROAD,0725,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,3180000,TURQUOISE,25008.33592,01-05,194,COVE DRIVE,1020,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,2800000,TURQUOISE,25008.33592,01-05,223,COVE DRIVE,0221,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,3145820,TURQUOISE,25008.33592,01-05,195,COVE DRIVE,1121,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,3207910,TURQUOISE,25008.33592,01-05,194,COVE DRIVE,0521,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,4139770,TURQUOISE,25008.33592,01-05,226,COVE DRIVE,0721,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,2892370,TURQUOISE,25008.33592,01-05,194,COVE DRIVE,0421,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,3083590,TURQUOISE,25008.33592,01-05,199,COVE DRIVE,0921,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,3157910,TURQUOISE,25008.33592,01-05,195,COVE DRIVE,0921,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,3177660,TURQUOISE,25008.33592,01-05,194,COVE DRIVE,0921,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,4080000,TURQUOISE,25008.33592,01-05,240,COVE DRIVE,0521,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,2849590,TURQUOISE,25008.33592,01-05,194,COVE DRIVE,0421,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,3450000,TURQUOISE,25008.33592,01-05,200,COVE DRIVE,1221,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,3228150,TURQUOISE,25008.33592,01-05,194,COVE DRIVE,1021,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,2852170,TURQUOISE,25008.33592,01-05,196,COVE DRIVE,0921,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,3178150,TURQUOISE,25008.33592,01-05,194,COVE DRIVE,0521,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,3140000,TURQUOISE,25008.33592,01-05,199,COVE DRIVE,1121,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,3500000,TURQUOISE,25008.33592,01-05,203,COVE DRIVE,0421,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,3307590,TURQUOISE,25008.33592,01-05,224,COVE DRIVE,0421,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,3207000,TURQUOISE,25008.33592,01-05,194,COVE DRIVE,0421,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,3108150,TURQUOISE,25008.33592,01-05,199,COVE DRIVE,0122,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,3240240,TURQUOISE,25008.33592,01-05,194,COVE DRIVE,0721,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,3125000,TURQUOISE,25008.33592,01-05,195,COVE DRIVE,0721,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,4169770,TURQUOISE,25008.33592,01-05,226,COVE DRIVE,0122,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,4702500,TURQUOISE,25008.33592,06-10,347,COVE DRIVE,0521,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,3350370,TURQUOISE,25008.33592,01-05,224,COVE DRIVE,0421,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,3282310,TURQUOISE,25008.33592,01-05,201,COVE DRIVE,0721,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,2741000,TURQUOISE,25008.33592,01-05,194,COVE DRIVE,0521,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,2793790,TURQUOISE,25008.33592,01-05,194,COVE DRIVE,0521,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,4049560,TURQUOISE,25008.33592,01-05,223,COVE DRIVE,0422,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,4068160,TURQUOISE,25008.33592,01-05,224,COVE DRIVE,0522,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,3254850,TURQUOISE,25008.33592,01-05,224,COVE DRIVE,0322,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,3254850,TURQUOISE,25008.33592,01-05,224,COVE DRIVE,0422,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,3071880,TURQUOISE,25008.33592,01-05,199,COVE DRIVE,0122,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,4448210,TURQUOISE,25008.33592,06-10,290,COVE DRIVE,0222,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,4127920,TURQUOISE,25008.33592,01-05,225,COVE DRIVE,0322,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,3399680,TURQUOISE,25008.33592,01-05,239,COVE DRIVE,1022,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,3150000,TURQUOISE,25008.33592,01-05,202,COVE DRIVE,0223,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,3232310,TURQUOISE,25008.33592,01-05,201,COVE DRIVE,0922,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,4630000,TURQUOISE,25008.33592,06-10,305,COVE DRIVE,1222,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,4609400,TURQUOISE,25008.33592,01-05,249,COVE DRIVE,0123,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,4115830,TURQUOISE,25008.33592,01-05,225,COVE DRIVE,1022,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,4650000,TURQUOISE,25008.33592,01-05,282,COVE DRIVE,0822,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,3380000,TURQUOISE,25008.33592,01-05,201,COVE DRIVE,1223,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,3500000,TURQUOISE,25008.33592,01-05,215,COVE DRIVE,0524,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,4397000,TURQUOISE,25008.33592,01-05,238,COVE DRIVE,0524,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,3000000,TURQUOISE,25008.33592,01-05,201,COVE DRIVE,0124,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,4610000,TURQUOISE,25008.33592,01-05,249,COVE DRIVE,1023,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,9000000,TURQUOISE,25008.33592,06-10,641,COVE DRIVE,1024,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,3800000,TURQUOISE,25008.33592,01-05,238,COVE DRIVE,0925,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,3298000,TURQUOISE,25008.33592,01-05,223,COVE DRIVE,0925,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,3500000,TURQUOISE,25008.33592,01-05,232,COVE DRIVE,0625,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,3051000,TURQUOISE,25008.33592,01-05,232,COVE DRIVE,0525,Strata
1,99 yrs lease commencing from 2007,CCR,3,04,,28382.47067,Condominium,3100000,TURQUOISE,25008.33592,01-05,194,COVE DRIVE,0825,Strata
1,99 yrs lease commencing from 2016,RCR,2,03,,26204.50079,Apartment,1960000,ARTRA,30270.56219,11-15,97,ALEXANDRA VIEW,1120,Strata
1,99 yrs lease commencing from 2016,RCR,2,03,,26204.50079,Apartment,2180000,ARTRA,30270.56219,36-40,97,ALEXANDRA VIEW,1220,Strata
1,99 yrs lease commencing from 2016,RCR,2,03,,26204.50079,Apartment,1450000,ARTRA,30270.56219,06-10,73,ALEXANDRA VIEW,0221,Strata
1,99 yrs lease commencing from 2016,RCR,2,03,,26204.50079,Apartment,2150000,ARTRA,30270.56219,11-15,97,ALEXANDRA VIEW,1121,Strata
1,99 yrs lease commencing from 2016,RCR,2,03,,26204.50079,Apartment,2088000,ARTRA,30270.56219,26-30,97,ALEXANDRA VIEW,0621,Strata
1,99 yrs lease commencing from 2016,RCR,2,03,,26204.50079,Apartment,2228000,ARTRA,30270.56219,21-25,104,ALEXANDRA VIEW,0921,Strata
1,99 yrs lease commencing from 2016,RCR,2,03,,26204.50079,Apartment,1630000,ARTRA,30270.56219,16-20,77,ALEXANDRA VIEW,0621,Strata
1,99 yrs lease commencing from 2016,RCR,2,03,,26204.50079,Apartment,1525000,ARTRA,30270.56219,06-10,77,ALEXANDRA VIEW,0821,Strata
1,99 yrs lease commencing from 2016,RCR,2,03,,26204.50079,Apartment,1450000,ARTRA,30270.56219,11-15,73,ALEXANDRA VIEW,0121,Strata
1,99 yrs lease commencing from 2016,RCR,2,03,,26204.50079,Apartment,1545000,ARTRA,30270.56219,11-15,73,ALEXANDRA VIEW,1121,Strata
1,99 yrs lease commencing from 2016,RCR,2,03,,26204.50079,Apartment,1520000,ARTRA,30270.56219,16-20,73,ALEXANDRA VIEW,0421,Strata
1,99 yrs lease commencing from 2016,RCR,2,03,,26204.50079,Apartment,1980000,ARTRA,30270.56219,06-10,97,ALEXANDRA VIEW,0721,Strata
1,99 yrs lease commencing from 2016,RCR,2,03,,26204.50079,Apartment,1520000,ARTRA,30270.56219,16-20,73,ALEXANDRA VIEW,0322,Strata
1,99 yrs lease commencing from 2016,RCR,2,03,,26204.50079,Apartment,1680000,ARTRA,30270.56219,06-10,77,ALEXANDRA VIEW,0622,Strata
1,99 yrs lease commencing from 2016,RCR,2,03,,26204.50079,Apartment,1650000,ARTRA,30270.56219,26-30,73,ALEXANDRA VIEW,0522,Strata
1,99 yrs lease commencing from 2016,RCR,2,03,,26204.50079,Apartment,1800000,ARTRA,30270.56219,16-20,77,ALEXANDRA VIEW,0622,Strata
1,99 yrs lease commencing from 2016,RCR,2,03,,26204.50079,Apartment,1700000,ARTRA,30270.56219,06-10,77,ALEXANDRA VIEW,0922,Strata
1,99 yrs lease commencing from 2016,RCR,2,03,,26204.50079,Apartment,1700000,ARTRA,30270.56219,06-10,77,ALEXANDRA VIEW,0922,Strata
1,99 yrs lease commencing from 2016,RCR,2,03,,26204.50079,Apartment,1838000,ARTRA,30270.56219,26-30,77,ALEXANDRA VIEW,0922,Strata
1,99 yrs lease commencing from 2016,RCR,2,03,,26204.50079,Apartment,1920000,ARTRA,30270.56219,31-35,77,ALEXANDRA VIEW,0123,Strata
1,99 yrs lease commencing from 2016,RCR,2,03,,26204.50079,Apartment,2310000,ARTRA,30270.56219,11-15,97,ALEXANDRA VIEW,1022,Strata
1,99 yrs lease commencing from 2016,RCR,2,03,,26204.50079,Apartment,1635000,ARTRA,30270.56219,21-25,73,ALEXANDRA VIEW,0822,Strata
1,99 yrs lease commencing from 2016,RCR,2,03,,26204.50079,Apartment,2538000,ARTRA,30270.56219,36-40,104,ALEXANDRA VIEW,0323,Strata
1,99 yrs lease commencing from 2016,RCR,2,03,,26204.50079,Apartment,2380000,ARTRA,30270.56219,06-10,114,ALEXANDRA VIEW,0523,Strata
1,99 yrs lease commencing from 2016,RCR,2,03,,26204.50079,Apartment,2870000,ARTRA,30270.56219,31-35,131,ALEXANDRA VIEW,0623,Strata
1,99 yrs lease commencing from 2016,RCR,2,03,,26204.50079,Apartment,1760000,ARTRA,30270.56219,36-40,73,ALEXANDRA VIEW,0623,Strata
1,99 yrs lease commencing from 2016,RCR,2,03,,26204.50079,Apartment,1778000,ARTRA,30270.56219,31-35,73,ALEXANDRA VIEW,0823,Strata
1,99 yrs lease commencing from 2016,RCR,2,03,,26204.50079,Apartment,2770000,ARTRA,30270.56219,31-35,114,ALEXANDRA VIEW,1023,Strata
1,99 yrs lease commencing from 2016,RCR,2,03,,26204.50079,Apartment,1970000,ARTRA,30270.56219,36-40,77,ALEXANDRA VIEW,1023,Strata
1,99 yrs lease commencing from 2016,RCR,3,03,,26204.50079,Apartment,1810000,ARTRA,30270.56219,11-15,73,ALEXANDRA VIEW,0724,Strata
1,99 yrs lease commencing from 2016,RCR,3,03,,26204.50079,Apartment,2428888,ARTRA,30270.56219,06-10,97,ALEXANDRA VIEW,0424,Strata
1,99 yrs lease commencing from 2016,RCR,3,03,,26204.50079,Apartment,1960000,ARTRA,30270.56219,36-40,77,ALEXANDRA VIEW,0424,Strata
1,99 yrs lease commencing from 2016,RCR,2,03,,26204.50079,Apartment,1780000,ARTRA,30270.56219,06-10,73,ALEXANDRA VIEW,1223,Strata
1,99 yrs lease commencing from 2016,RCR,3,03,,26204.50079,Apartment,2472000,ARTRA,30270.56219,26-30,97,ALEXANDRA VIEW,0924,Strata
1,99 yrs lease commencing from 2016,RCR,2,03,,26204.50079,Apartment,1850000,ARTRA,30270.56219,31-35,73,ALEXANDRA VIEW,0923,Strata
1,99 yrs lease commencing from 2016,RCR,3,03,,26204.50079,Apartment,1860000,ARTRA,30270.56219,21-25,73,ALEXANDRA VIEW,1224,Strata
1,99 yrs lease commencing from 2016,RCR,2,03,,26204.50079,Apartment,2780000,ARTRA,30270.56219,31-35,114,ALEXANDRA VIEW,0823,Strata
1,99 yrs lease commencing from 2016,RCR,3,03,,26204.50079,Apartment,2560000,ARTRA,30270.56219,31-35,104,ALEXANDRA VIEW,0524,Strata
1,99 yrs lease commencing from 2016,RCR,3,03,,26204.50079,Apartment,2985000,ARTRA,30270.56219,36-40,114,ALEXANDRA VIEW,0724,Strata
1,99 yrs lease commencing from 2016,RCR,2,03,,26204.50079,Apartment,1785000,ARTRA,30270.56219,16-20,73,ALEXANDRA VIEW,0324,Strata
1,99 yrs lease commencing from 2016,RCR,3,03,,26204.50079,Apartment,2510000,ARTRA,30270.56219,36-40,97,ALEXANDRA VIEW,0924,Strata
1,99 yrs lease commencing from 2016,RCR,3,03,,26204.50079,Apartment,1836000,ARTRA,30270.56219,11-15,73,ALEXANDRA VIEW,0924,Strata
1,99 yrs lease commencing from 2016,RCR,2,03,,26204.50079,Apartment,2500000,ARTRA,30270.56219,31-35,97,ALEXANDRA VIEW,0124,Strata
1,99 yrs lease commencing from 2016,RCR,2,03,,26204.50079,Apartment,1940000,ARTRA,30270.56219,36-40,77,ALEXANDRA VIEW,0424,Strata
1,99 yrs lease commencing from 2016,RCR,2,03,,26204.50079,Apartment,2850000,ARTRA,30270.56219,31-35,114,ALEXANDRA VIEW,1223,Strata
1,99 yrs lease commencing from 2016,RCR,3,03,,26204.50079,Apartment,1950000,ARTRA,30270.56219,26-30,77,ALEXANDRA VIEW,0724,Strata
1,99 yrs lease commencing from 2016,RCR,3,03,,26204.50079,Apartment,1980000,ARTRA,30270.56219,26-30,77,ALEXANDRA VIEW,0724,Strata
1,99 yrs lease commencing from 2016,RCR,3,03,,26204.50079,Apartment,1920000,ARTRA,30270.56219,16-20,77,ALEXANDRA VIEW,0824,Strata
1,99 yrs lease commencing from 2016,RCR,3,03,,26204.50079,Apartment,2460000,ARTRA,30270.56219,21-25,97,ALEXANDRA VIEW,0724,Strata
1,99 yrs lease commencing from 2016,RCR,2,03,,26204.50079,Apartment,2800000,ARTRA,30270.56219,31-35,114,ALEXANDRA VIEW,1023,Strata
1,99 yrs lease commencing from 2016,RCR,3,03,,26204.50079,Apartment,1880000,ARTRA,30270.56219,11-15,77,ALEXANDRA VIEW,0624,Strata
1,99 yrs lease commencing from 2016,RCR,2,03,,26204.50079,Apartment,1818888,ARTRA,30270.56219,11-15,73,ALEXANDRA VIEW,0923,Strata
1,99 yrs lease commencing from 2016,RCR,2,03,,26204.50079,Apartment,2450000,ARTRA,30270.56219,16-20,97,ALEXANDRA VIEW,0823,Strata
1,99 yrs lease commencing from 2016,RCR,3,03,,26204.50079,Apartment,1910000,ARTRA,30270.56219,21-25,77,ALEXANDRA VIEW,1124,Strata
1,99 yrs lease commencing from 2016,RCR,3,03,,26204.50079,Apartment,1868888,ARTRA,30270.56219,06-10,77,ALEXANDRA VIEW,1024,Strata
1,99 yrs lease commencing from 2016,RCR,2,03,,26204.50079,Apartment,2950000,ARTRA,30270.56219,36-40,114,ALEXANDRA VIEW,1223,Strata
1,99 yrs lease commencing from 2016,RCR,2,03,,26204.50079,Apartment,2928888,ARTRA,30270.56219,41-45,114,ALEXANDRA VIEW,1123,Strata
1,99 yrs lease commencing from 2016,RCR,2,03,,26204.50079,Apartment,2520000,ARTRA,30270.56219,16-20,104,ALEXANDRA VIEW,0823,Strata
1,99 yrs lease commencing from 2016,RCR,3,03,,26204.50079,Apartment,1800000,ARTRA,30270.56219,06-10,73,ALEXANDRA VIEW,0425,Strata
1,99 yrs lease commencing from 2016,RCR,3,03,,26204.50079,Apartment,2650000,ARTRA,30270.56219,31-35,97,ALEXANDRA VIEW,0724,Strata
1,99 yrs lease commencing from 2016,RCR,3,03,,26204.50079,Apartment,1950000,ARTRA,30270.56219,41-45,77,ALEXANDRA VIEW,0724,Strata
1,99 yrs lease commencing from 2016,RCR,3,03,,26204.50079,Apartment,2700000,ARTRA,30270.56219,26-30,104,ALEXANDRA VIEW,0925,Strata
1,99 yrs lease commencing from 2016,RCR,3,03,,26204.50079,Apartment,2520000,ARTRA,30270.56219,11-15,97,ALEXANDRA VIEW,0525,Strata
1,99 yrs lease commencing from 2016,RCR,3,03,,26204.50079,Apartment,1840000,ARTRA,30270.56219,06-10,73,ALEXANDRA VIEW,0425,Strata
1,99 yrs lease commencing from 2016,RCR,3,03,,26204.50079,Apartment,1854000,ARTRA,30270.56219,16-20,73,ALEXANDRA VIEW,0425,Strata
1,99 yrs lease commencing from 2016,RCR,3,03,,26204.50079,Apartment,2930000,ARTRA,30270.56219,21-25,114,ALEXANDRA VIEW,0625,Strata
1,99 yrs lease commencing from 2016,RCR,3,03,,26204.50079,Apartment,1990000,ARTRA,30270.56219,11-15,77,ALEXANDRA VIEW,0325,Strata
1,99 yrs lease commencing from 2016,RCR,3,03,,26204.50079,Apartment,2630000,ARTRA,30270.56219,26-30,104,ALEXANDRA VIEW,0325,Strata
1,99 yrs lease commencing from 2016,RCR,3,03,,26204.50079,Apartment,1938000,ARTRA,30270.56219,16-20,77,ALEXANDRA VIEW,0825,Strata
1,99 yrs lease commencing from 2016,RCR,3,03,,26204.50079,Apartment,1938000,ARTRA,30270.56219,41-45,73,ALEXANDRA VIEW,0225,Strata
1,99 yrs lease commencing from 2016,RCR,3,03,,26204.50079,Apartment,2745000,ARTRA,30270.56219,06-10,114,ALEXANDRA VIEW,0525,Strata
1,99 yrs lease commencing from 2016,RCR,3,03,,26204.50079,Apartment,2880000,ARTRA,30270.56219,26-30,114,ALEXANDRA VIEW,0625,Strata
1,99 yrs lease commencing from 2016,RCR,3,03,,26204.50079,Apartment,2638000,ARTRA,30270.56219,31-35,97,ALEXANDRA VIEW,0725,Strata
1,99 yrs lease commencing from 2016,RCR,3,03,,26204.50079,Apartment,1918000,ARTRA,30270.56219,21-25,77,ALEXANDRA VIEW,0425,Strata
1,99 yrs lease commencing from 2016,RCR,3,03,,26204.50079,Apartment,3320000,ARTRA,30270.56219,31-35,131,ALEXANDRA VIEW,0325,Strata
1,Freehold,RCR,3,03,,27660.97304,Apartment,1500000,RESIDENTIAL APARTMENTS,29438.53463,01-05,93,YONG SIAK STREET,1020,Strata
1,9999 yrs lease commencing from 1963,RCR,3,03,,27660.97304,Apartment,2400000,RESIDENTIAL APARTMENTS,29438.53463,01-05,105,YONG SIAK STREET,1224,Strata
1,99 yrs lease commencing from 2014,RCR,3,07,,31220.91906,Apartment,1912500,CITY GATE,31632.51122,21-25,85,BEACH ROAD,1120,Strata
1,99 yrs lease commencing from 2014,RCR,3,07,,31220.91906,Apartment,1290000,CITY GATE,31632.51122,06-10,63,BEACH ROAD,1220,Strata
1,99 yrs lease commencing from 2014,RCR,3,07,,31220.91906,Apartment,870000,CITY GATE,31632.51122,11-15,42,BEACH ROAD,0121,Strata
1,99 yrs lease commencing from 2014,RCR,3,07,,31220.91906,Apartment,1408000,CITY GATE,31632.51122,26-30,63,BEACH ROAD,0221,Strata
1,99 yrs lease commencing from 2014,RCR,3,07,,31220.91906,Apartment,1260000,CITY GATE,31632.51122,06-10,64,BEACH ROAD,1220,Strata
1,99 yrs lease commencing from 2014,RCR,3,07,,31220.91906,Apartment,1390000,CITY GATE,31632.51122,21-25,66,BEACH ROAD,0421,Strata
1,99 yrs lease commencing from 2014,RCR,3,07,,31220.91906,Apartment,1670000,CITY GATE,31632.51122,26-30,84,BEACH ROAD,0421,Strata
1,99 yrs lease commencing from 2014,RCR,3,07,,31220.91906,Apartment,1395000,CITY GATE,31632.51122,16-20,70,BEACH ROAD,1021,Strata
1,99 yrs lease commencing from 2014,RCR,3,07,,31220.91906,Apartment,1565000,CITY GATE,31632.51122,26-30,75,BEACH ROAD,0122,Strata
1,99 yrs lease commencing from 2014,RCR,3,07,,31220.91906,Apartment,1080000,CITY GATE,31632.51122,11-15,53,BEACH ROAD,1121,Strata
1,99 yrs lease commencing from 2014,RCR,3,07,,31220.91906,Apartment,1390000,CITY GATE,31632.51122,11-15,66,BEACH ROAD,0721,Strata
1,99 yrs lease commencing from 2014,RCR,3,07,,31220.91906,Apartment,1340000,CITY GATE,31632.51122,11-15,64,BEACH ROAD,0421,Strata
1,99 yrs lease commencing from 2014,RCR,3,07,,31220.91906,Apartment,840000,CITY GATE,31632.51122,21-25,40,BEACH ROAD,0721,Strata
1,99 yrs lease commencing from 2014,RCR,3,07,,31220.91906,Apartment,1390000,CITY GATE,31632.51122,11-15,72,BEACH ROAD,0521,Strata
1,99 yrs lease commencing from 2014,RCR,3,07,,31220.91906,Apartment,1680000,CITY GATE,31632.51122,11-15,84,BEACH ROAD,0821,Strata
1,99 yrs lease commencing from 2014,RCR,3,07,,31220.91906,Apartment,1385000,CITY GATE,31632.51122,11-15,70,BEACH ROAD,0621,Strata
1,99 yrs lease commencing from 2014,RCR,3,07,,31220.91906,Apartment,1032000,CITY GATE,31632.51122,16-20,52,BEACH ROAD,0721,Strata
