noOfUnits,tenure,marketSegment,typeOfSale,district,nettPrice,x,propertyType,price,project,y,floorRange,area,street,contractDate,typeOfArea
1,Freehold,RCR,3,05,,20914.1988965525,Strata Terrace,1880000,LANDED HOUSING DEVELOPMENT,30589.1070785135,-,186,NEO PEE TECK LANE,0321,Strata
1,Freehold,RCR,3,05,,20914.1988965525,Terrace,4600000,LANDED HOUSING DEVELOPMENT,30589.1070785135,-,257,NEO PEE TECK LANE,0522,Land
1,Freehold,RCR,3,05,,,Semi-detached,5200000,LANDED HOUSING DEVELOPMENT,,-,308,ZEHNDER ROAD,0921,Land
1,Freehold,RCR,3,05,,,Semi-detached,5188888,LANDED HOUSING DEVELOPMENT,,-,228.4,ZEHNDER ROAD,0724,Land
1,99 yrs lease commencing from 2024,CCR,1,07,,,Apartment,2065000,AUREA,,21-25,66,BEACH ROAD,0925,Strata
1,99 yrs lease commencing from 2024,CCR,1,07,,,Apartment,6010945,AUREA,,26-30,167,BEACH ROAD,0525,Strata
1,99 yrs lease commencing from 2024,CCR,1,07,,,Apartment,2100000,AUREA,,26-30,66,BEACH ROAD,0725,Strata
1,99 yrs lease commencing from 2024,CCR,1,07,,,Apartment,4267850,AUREA,,11-15,134,BEACH ROAD,0325,Strata
1,99 yrs lease commencing from 2024,CCR,1,07,,,Apartment,2911440,AUREA,,11-15,93,BEACH ROAD,0325,Strata
1,99 yrs lease commencing from 2024,CCR,1,07,,,Apartment,2999039,AUREA,,16-20,93,BEACH ROAD,0325,Strata
1,99 yrs lease commencing from 2024,CCR,1,07,,,Apartment,5795300,AUREA,,21-25,167,BEACH ROAD,0325,Strata
1,99 yrs lease commencing from 2024,CCR,1,07,,,Apartment,5869248,AUREA,,21-25,167,BEACH ROAD,0325,Strata
1,99 yrs lease commencing from 2024,CCR,1,07,,,Apartment,5867210,AUREA,,21-25,167,BEACH ROAD,0325,Strata
1,99 yrs lease commencing from 2024,CCR,1,07,,,Apartment,6091865,AUREA,,26-30,167,BEACH ROAD,0325,Strata
1,99 yrs lease commencing from 2024,CCR,1,07,,,Apartment,4311115,AUREA,,11-15,134,BEACH ROAD,0325,Strata
1,99 yrs lease commencing from 2024,CCR,1,07,,,Apartment,4239205,AUREA,,11-15,134,BEACH ROAD,0325,Strata
1,99 yrs lease commencing from 2024,CCR,1,07,,,Apartment,2049605,AUREA,,16-20,66,BEACH ROAD,0325,Strata
1,99 yrs lease commencing from 2024,CCR,1,07,,,Apartment,1981435,AUREA,,11-15,66,BEACH ROAD,0325,Strata
1,99 yrs lease commencing from 2024,CCR,1,07,,,Apartment,1963752,AUREA,,11-15,66,BEACH ROAD,0325,Strata
1,99 years leasehold,CCR,1,07,,,Apartment,1958655,AUREA,,06-10,66,BEACH ROAD,0325,Strata
