noOfBedRoom,rent,propertyType,areaSqft,y,x,areaSqm,leaseDate,street,project,district
NA,3300,Terrace House,1500-2000,41228.1555151873,28399.0740164936,150-200,0121,LENTOR TERRACE,FUDU PARK,26
NA,6944,Non-landed Properties,1600-1700,32559.33503,27107.4972,150-160,0121,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
NA,13673,Non-landed Properties,1500-1600,32559.33503,27107.4972,140-150,0121,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
NA,8346,Non-landed Properties,1600-1700,32559.33503,27107.4972,150-160,0121,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
NA,8346,Non-landed Properties,1900-2000,32559.33503,27107.4972,180-190,0221,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
4,9379,Non-landed Properties,2000-2100,32559.33503,27107.4972,190-200,0221,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
4,10781,Non-landed Properties,2200-2300,32559.33503,27107.4972,200-210,0321,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
NA,8336,Non-landed Properties,1600-1700,32559.33503,27107.4972,150-160,0321,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
NA,9468,Non-landed Properties,1600-1700,32559.33503,27107.4972,150-160,0221,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
NA,7412,Non-landed Properties,1600-1700,32559.33503,27107.4972,150-160,0221,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
NA,7700,Non-landed Properties,1600-1700,32559.33503,27107.4972,150-160,0221,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
NA,9748,Non-landed Properties,1700-1800,32559.33503,27107.4972,150-160,0221,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
4,9846,Non-landed Properties,2000-2100,32559.33503,27107.4972,190-200,0221,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
4,8444,Non-landed Properties,2000-2100,32559.33503,27107.4972,190-200,0121,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
4,11000,Non-landed Properties,2100-2200,32559.33503,27107.4972,190-200,0221,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
NA,7500,Non-landed Properties,1700-1800,32559.33503,27107.4972,150-160,0121,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
4,9659,Non-landed Properties,2000-2100,32559.33503,27107.4972,190-200,0321,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
NA,9982,Non-landed Properties,1700-1800,32559.33503,27107.4972,160-170,0221,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
NA,20700,Non-landed Properties,>3000,33845.38801,30141.57222,>300,0121,AVA ROAD,VICTORY POINT,12
NA,3200,Non-landed Properties,1200-1300,37427.10251,32687.47201,110-120,0321,LIM TUA TOW ROAD,CASA RIVIERA,19
NA,4500,Terrace House,3000-3500,39679.93945,27963.79988,300-350,0321,ANG MO KIO AVENUE 2,HORIZON GREEN,20
NA,3700,Terrace House,3000-3500,39679.93945,27963.79988,300-350,0221,ANG MO KIO AVENUE 2,HORIZON GREEN,20
NA,5700,Terrace House,3000-3500,39679.93945,27963.79988,250-300,0221,ANG MO KIO AVENUE 2,HORIZON GREEN,20
2,2350,Non-landed Properties,800-900,30989.74224,32570.66612,70-80,0121,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,3800,Non-landed Properties,1300-1400,30989.74224,32570.66612,120-130,0121,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,3200,Non-landed Properties,1200-1300,30989.74224,32570.66612,110-120,0221,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,3100,Non-landed Properties,1300-1400,30989.74224,32570.66612,120-130,0121,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,3500,Non-landed Properties,1200-1300,30989.74224,32570.66612,110-120,0321,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,3500,Non-landed Properties,1300-1400,30989.74224,32570.66612,120-130,0321,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,3000,Non-landed Properties,1300-1400,30989.74224,32570.66612,120-130,0321,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,3500,Non-landed Properties,1300-1400,30989.74224,32570.66612,120-130,0221,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
1,2500,Non-landed Properties,600-700,30989.74224,32570.66612,50-60,0321,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,3000,Non-landed Properties,1300-1400,30989.74224,32570.66612,120-130,0221,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,3000,Non-landed Properties,1300-1400,30989.74224,32570.66612,120-130,0221,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,3100,Non-landed Properties,1200-1300,30989.74224,32570.66612,110-120,0221,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
1,1900,Non-landed Properties,600-700,30989.74224,32570.66612,50-60,0221,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,3000,Non-landed Properties,1200-1300,32655.63524,39140.90324,110-120,0221,MARINE PARADE ROAD,TAIPAN GRAND,15
