noOfBedRoom,rent,propertyType,areaSqft,y,x,areaSqm,leaseDate,street,project,district
NA,3300,Terrace House,1500-2000,41228.1555151873,28399.0740164936,150-200,0322,LENTOR TERRACE,FUDU PARK,26
NA,4500,Terrace House,3500-4000,41228.1555151873,28399.0740164936,350-400,0322,LENTOR TERRACE,FUDU PARK,26
4,10407,Non-landed Properties,2000-2100,32559.33503,27107.4972,190-200,0322,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
4,13865,Non-landed Properties,2000-2100,32559.33503,27107.4972,190-200,0222,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
4,9285,Non-landed Properties,2000-2100,32559.33503,27107.4972,190-200,0222,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
NA,7879,Non-landed Properties,1600-1700,32559.33503,27107.4972,150-160,0222,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
NA,13486,Non-landed Properties,1500-1600,32559.33503,27107.4972,140-150,0222,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
NA,8814,Non-landed Properties,1900-2000,32559.33503,27107.4972,180-190,0222,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
4,10314,Non-landed Properties,2200-2300,32559.33503,27107.4972,200-210,0222,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
NA,10683,Non-landed Properties,1700-1800,32559.33503,27107.4972,160-170,0122,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
4,11248,Non-landed Properties,2200-2300,32559.33503,27107.4972,200-210,0122,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
4,13865,Non-landed Properties,2000-2100,32559.33503,27107.4972,190-200,0322,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
NA,8720,Non-landed Properties,1600-1700,32559.33503,27107.4972,150-160,0322,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
NA,9748,Non-landed Properties,1600-1700,32559.33503,27107.4972,150-160,0322,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
NA,8336,Non-landed Properties,1600-1700,32559.33503,27107.4972,150-160,0322,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
NA,14421,Non-landed Properties,1600-1700,32559.33503,27107.4972,150-160,0122,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
4,13865,Non-landed Properties,2000-2100,32559.33503,27107.4972,190-200,0122,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
NA,9748,Non-landed Properties,1600-1700,32559.33503,27107.4972,150-160,0122,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
NA,10000,Non-landed Properties,1900-2000,32559.33503,27107.4972,180-190,0122,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
3,3200,Non-landed Properties,1200-1300,30989.74224,32570.66612,110-120,0322,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
1,2500,Non-landed Properties,600-700,30989.74224,32570.66612,50-60,0322,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,4000,Non-landed Properties,1200-1300,30989.74224,32570.66612,110-120,0222,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,3400,Non-landed Properties,1200-1300,30989.74224,32570.66612,110-120,0222,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,3400,Non-landed Properties,1200-1300,30989.74224,32570.66612,110-120,0322,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,3300,Non-landed Properties,1200-1300,30989.74224,32570.66612,110-120,0222,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,4350,Non-landed Properties,1200-1300,30989.74224,32570.66612,110-120,0222,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,3100,Non-landed Properties,1300-1400,30989.74224,32570.66612,120-130,0222,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
1,2550,Non-landed Properties,600-700,30989.74224,32570.66612,50-60,0322,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,3400,Non-landed Properties,1200-1300,30989.74224,32570.66612,110-120,0322,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
2,4000,Non-landed Properties,900-1000,30989.74224,32570.66612,80-90,0322,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,3100,Non-landed Properties,1200-1300,32655.63524,39140.90324,110-120,0222,MARINE PARADE ROAD,TAIPAN GRAND,15
3,3800,Non-landed Properties,1300-1400,45696.29803,22726.02892,120-130,0122,ROSEWOOD DRIVE,ROSEWOOD SUITES,25
3,3900,Non-landed Properties,1500-1600,45696.29803,22726.02892,140-150,0322,ROSEWOOD DRIVE,ROSEWOOD SUITES,25
3,4050,Non-landed Properties,1500-1600,45696.29803,22726.02892,140-150,0322,ROSEWOOD DRIVE,ROSEWOOD SUITES,25
4,5200,Non-landed Properties,1500-1600,45696.29803,22726.02892,140-150,0322,ROSEWOOD DRIVE,ROSEWOOD SUITES,25
3,2900,Non-landed Properties,1000-1100,45696.29803,22726.02892,100-110,0122,ROSEWOOD DRIVE,ROSEWOOD SUITES,25
2,2600,Non-landed Properties,1200-1300,45696.29803,22726.02892,110-120,0122,ROSEWOOD DRIVE,ROSEWOOD SUITES,25
